,AM.P1.D,AM.P1.R,AM.P2.D,AM.P2.R,TIA.P1.D,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D,TI.P2.R,TI.P3.D,TI.P3.R,TI.P4.D,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R
AM.P1.D,0.0,0.13854274764399177,0.210841492191819,0.23817095129794122,0.27103990552124374,0.3211071429815605,0.2708252159335132,0.27289040916745155,0.3564076136202605,0.26759030608523826,0.21466605493870283,0.2589169022679219,0.29720796594814597,0.23575032159084017,0.2454741153878308,0.23933388145274098,0.18915330776754372,0.2002440962786596,0.2223472679170497,0.27102775584416505
AM.P1.R,0.13854274764399177,0.0,0.08206667357699673,0.1319897121251881,0.14709453493702732,0.21259021284059695,0.14676757531262838,0.14995015892353547,0.25470567127661325,0.13940655706472166,0.0732529089930313,0.12540636907956687,0.1850679054198494,0.0957085974545965,0.13619676671087733,0.10683610955370114,0.1000701324749875,0.08631244360842834,0.09310528682346801,0.14400156255073823
AM.P2.D,0.210841492191819,0.08206667357699673,0.0,0.12054115997403815,0.12586434701669455,0.19443853506189496,0.12135572651063094,0.1270022922109969,0.24679985103253776,0.11292481832235123,0.03346583093212949,0.0968665354886204,0.1705065481243915,0.06013296604427663,0.16497728874500178,0.1017647994959738,0.0758836343539352,0.05714695573732733,0.0654744608047203,0.11684538062068753
AM.P2.R,0.23817095129794122,0.1319897121251881,0.12054115997403815,0.0,0.0703139536032106,0.11871493336639238,0.07291306365085758,0.07306197113762802,0.17324901909741638,0.06711061169145616,0.1057033166686313,0.08117048504250068,0.10459824917787833,0.07229280075469899,0.0819310442782049,0.05904486688252303,0.09756333337774545,0.08855211947828973,0.058874759350284175,0.04160831323149431
TIA.P1.D,0.27103990552124374,0.14709453493702732,0.12586434701669455,0.0703139536032106,0.0,0.07967465411015333,0.02614584334328259,0.02674199681748919,0.13266858715853197,0.05500965944892261,0.11779029143241854,0.06061609284972047,0.049944544394524795,0.08192755690079574,0.06850573496209388,0.04783544399352828,0.12468585363944307,0.11580330911285948,0.08264897076388207,0.06213222962866775
TIA.P1.R,0.3211071429815605,0.21259021284059695,0.19443853506189496,0.11871493336639238,0.07967465411015333,0.0,0.0796262653565362,0.07374434826584249,0.0684939376000439,0.08684353132267646,0.1902363444144708,0.12227554351740726,0.06725144210964389,0.1533571581887942,0.08444158714867173,0.11587698884519601,0.194850990448917,0.18669218169530444,0.15337144151152074,0.09620988238252495
TIA.P2.D,0.2708252159335132,0.14676757531262838,0.12135572651063094,0.07291306365085758,0.02614584334328259,0.0796262653565362,0.0,0.029666464626516734,0.13531390525408066,0.05818893183576561,0.11759276343006234,0.05552196060725008,0.060959236576322566,0.08022348760797422,0.06448807928355996,0.0524540327342446,0.1244503756241639,0.11555958836991903,0.08429472648349447,0.06470329064494611
TIA.P2.R,0.27289040916745155,0.14995015892353547,0.1270022922109969,0.07306197113762802,0.02674199681748919,0.07374434826584249,0.029666464626516734,0.0,0.13094983583242203,0.05224667838528499,0.11834687174869048,0.05909159071806107,0.052110228597193796,0.08232610959781102,0.05968505900357391,0.053037696532419534,0.1256584481824705,0.11678620224359734,0.08475301221706383,0.06279554379480563
TI.P1.D,0.3564076136202605,0.25470567127661325,0.24679985103253776,0.17324901909741638,0.13266858715853197,0.0684939376000439,0.13531390525408066,0.13094983583242203,0.0,0.14034855161342727,0.23750194411373185,0.15627792234234994,0.10451572391101632,0.20463433344340004,0.1291540321866929,0.16194237818080176,0.23850939080028472,0.2304789457637185,0.20040359243968056,0.16030941062733778
TI.P1.R,0.26759030608523826,0.13940655706472166,0.11292481832235123,0.06711061169145616,0.05500965944892261,0.08684353132267646,0.05818893183576561,0.05224667838528499,0.14034855161342727,0.0,0.10716059882460024,0.0592719990459433,0.06593212126074437,0.07284693274240386,0.07748228943220528,0.05475608308619374,0.1146886246346811,0.10566244343332265,0.07604743149699048,0.04726772487625115
TI.P2.D,0.21466605493870283,0.0732529089930313,0.03346583093212949,0.1057033166686313,0.11779029143241854,0.1902363444144708,0.11759276343006234,0.11834687174869048,0.23750194411373185,0.10716059882460024,0.0,0.08803930956458528,0.15970567803860297,0.04776911629854308,0.15269877017362246,0.08732994457937938,0.058504861370948694,0.03905089866751754,0.05097772970097117,0.11137206338396272
TI.P2.R,0.2589169022679219,0.12540636907956687,0.0968665354886204,0.08117048504250068,0.06061609284972047,0.12227554351740726,0.05552196060725008,0.05909159071806107,0.15627792234234994,0.0592719990459433,0.08803930956458528,0.0,0.07628023671790553,0.05928004958149118,0.10171831323999903,0.0481579434730269,0.09501757723725004,0.08721053590646327,0.056518928669242165,0.08051901279849906
TI.P3.D,0.29720796594814597,0.1850679054198494,0.1705065481243915,0.10459824917787833,0.049944544394524795,0.06725144210964389,0.060959236576322566,0.052110228597193796,0.10451572391101632,0.06593212126074437,0.15970567803860297,0.07628023671790553,0.0,0.12389767744694256,0.07053691402563537,0.086115134005222,0.16303454869626266,0.15463762188331234,0.1242868170330649,0.08245099547032206
TI.P3.R,0.23575032159084017,0.0957085974545965,0.06013296604427663,0.07229280075469899,0.08192755690079574,0.1533571581887942,0.08022348760797422,0.08232610959781102,0.20463433344340004,0.07284693274240386,0.04776911629854308,0.05928004958149118,0.12389767744694256,0.0,0.11872285584393269,0.05774109678420223,0.06044324663537124,0.045933581502839785,0.028194902309826117,0.06919320305260629
TI.P4.D,0.2454741153878308,0.13619676671087733,0.16497728874500178,0.0819310442782049,0.06850573496209388,0.08444158714867173,0.06448807928355996,0.05968505900357391,0.1291540321866929,0.07748228943220528,0.15269877017362246,0.10171831323999903,0.07053691402563537,0.11872285584393269,0.0,0.06572210596231151,0.1512249200128514,0.14112328542569016,0.11172402504194598,0.07973790658637803
TI.P4.R,0.23933388145274098,0.10683610955370114,0.1017647994959738,0.05904486688252303,0.04783544399352828,0.11587698884519601,0.0524540327342446,0.053037696532419534,0.16194237818080176,0.05475608308619374,0.08732994457937938,0.0481579434730269,0.086115134005222,0.05774109678420223,0.06572210596231151,0.0,0.08992454198267147,0.07899929833253336,0.05198266999335653,0.05917583347566544
VI.P1.D,0.18915330776754372,0.1000701324749875,0.0758836343539352,0.09756333337774545,0.12468585363944307,0.194850990448917,0.1244503756241639,0.1256584481824705,0.23850939080028472,0.1146886246346811,0.058504861370948694,0.09501757723725004,0.16303454869626266,0.06044324663537124,0.1512249200128514,0.08992454198267147,0.0,0.03117556140899428,0.048999368752696476,0.12048564603159974
VI.P1.R,0.2002440962786596,0.08631244360842834,0.05714695573732733,0.08855211947828973,0.11580330911285948,0.18669218169530444,0.11555958836991903,0.11678620224359734,0.2304789457637185,0.10566244343332265,0.03905089866751754,0.08721053590646327,0.15463762188331234,0.045933581502839785,0.14112328542569016,0.07899929833253336,0.03117556140899428,0.0,0.036593231061774915,0.11131180172856066
VI.P2.D,0.2223472679170497,0.09310528682346801,0.0654744608047203,0.058874759350284175,0.08264897076388207,0.15337144151152074,0.08429472648349447,0.08475301221706383,0.20040359243968056,0.07604743149699048,0.05097772970097117,0.056518928669242165,0.1242868170330649,0.028194902309826117,0.11172402504194598,0.05198266999335653,0.048999368752696476,0.036593231061774915,0.0,0.07706561225717892
VI.P2.R,0.27102775584416505,0.14400156255073823,0.11684538062068753,0.04160831323149431,0.06213222962866775,0.09620988238252495,0.06470329064494611,0.06279554379480563,0.16030941062733778,0.04726772487625115,0.11137206338396272,0.08051901279849906,0.08245099547032206,0.06919320305260629,0.07973790658637803,0.05917583347566544,0.12048564603159974,0.11131180172856066,0.07706561225717892,0.0
