,AM.P1.D,AM.P1.R,AM.P2.D,AM.P2.R,TIA.P1.D,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D,TI.P2.R,TI.P3.D,TI.P3.R,TI.P4.D,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R
AM.P1.D,0.0,0.07907535696016524,0.17466725714769057,0.14195073213166284,0.15036571230782278,0.16102985009230322,0.1490201642479847,0.1620218583173654,0.1272448584994919,0.15387294639230537,0.18052670493112627,0.17286583576531983,0.15123865509677567,0.1644742006570106,0.1281878345270399,0.14047541773695046,0.17871225055850729,0.15928720406592128,0.16472987231270997,0.15242598879327862
AM.P1.R,0.07907535696016524,0.0,0.1359825265935575,0.09768429228962605,0.11119267452801179,0.1103728965582489,0.10542698718146729,0.11486861621884653,0.12549669079784523,0.10747418583099524,0.13439616474518923,0.11310607401737528,0.11169103035233033,0.11848107075585271,0.10609494632613616,0.09340939187197266,0.14591277624106594,0.12107973397980362,0.13323341244050563,0.1257828807168694
AM.P2.D,0.17466725714769057,0.1359825265935575,0.0,0.12158686184105087,0.061599448216635,0.10179329087148532,0.07784878524620209,0.0820182293150774,0.17818725102838695,0.0691994797602123,0.029486897905877794,0.10969839122825219,0.1186913265402435,0.03386106694272552,0.16258092229810117,0.12277202006683839,0.05042155943647774,0.04434776181800639,0.04127570024587339,0.051006028499245605
AM.P2.R,0.14195073213166284,0.09768429228962605,0.12158686184105087,0.0,0.0858956100492962,0.07414995425243467,0.07345446656560346,0.0701623737922688,0.10894392756630966,0.06756861790224417,0.1210600236021594,0.070655075500983,0.07556042273030661,0.09806117609060994,0.08983116289160817,0.0771318491875707,0.12354055896272698,0.11224034601058035,0.1071856500133889,0.08440215171379853
TIA.P1.D,0.15036571230782278,0.11119267452801179,0.061599448216635,0.0858956100492962,0.0,0.06649339731855138,0.03858712973381886,0.04382957134737022,0.1386873439381157,0.03739985978852192,0.06197707142803353,0.07029292156076525,0.07244564813816881,0.03991044184116118,0.1172703621697351,0.08501796164709835,0.05054871885106692,0.0547606306850169,0.0627319849714684,0.05392068186348811
TIA.P1.R,0.16102985009230322,0.1103728965582489,0.10179329087148532,0.07414995425243467,0.06649339731855138,0.0,0.03687390729918725,0.030839964249568818,0.08437943184391006,0.04460308232243859,0.10102869252291913,0.025033622957653316,0.030031653674550837,0.07903734328277742,0.07498574506791016,0.036800975112360204,0.09985564856860575,0.09323115166787524,0.10071658690529756,0.09661648152332249
TIA.P2.D,0.1490201642479847,0.10542698718146729,0.07784878524620209,0.07345446656560346,0.03858712973381886,0.03687390729918725,0.0,0.02651536639858363,0.11116207440337782,0.02274946526397125,0.07598462793369837,0.046315204880169936,0.05353392202193681,0.05482856512805755,0.09868884323812498,0.06474947547767201,0.07540626431605349,0.0671239269913808,0.078708436219178,0.0735584537627988
TIA.P2.R,0.1620218583173654,0.11486861621884653,0.0820182293150774,0.0701623737922688,0.04382957134737022,0.030839964249568818,0.02651536639858363,0.0,0.10991464411827619,0.03058341128631182,0.0768301871831165,0.038997972726823045,0.050099893189373454,0.0596036874899092,0.09545118790323023,0.06103757715710518,0.08021035326195067,0.07736903801743478,0.08016530014417808,0.07717892681811823
TI.P1.D,0.1272448584994919,0.12549669079784523,0.17818725102838695,0.10894392756630966,0.1386873439381157,0.08437943184391006,0.11116207440337782,0.10991464411827619,0.0,0.11862352196723108,0.17794404508821632,0.09929233811886289,0.08224429298793125,0.16008554991791715,0.0601025001896473,0.07628187768006192,0.17474056544684963,0.15625553704433148,0.15528184545077237,0.1539007104790044
TI.P1.R,0.15387294639230537,0.10747418583099524,0.0691994797602123,0.06756861790224417,0.03739985978852192,0.04460308232243859,0.02274946526397125,0.03058341128631182,0.11862352196723108,0.0,0.0703525677482331,0.05160196629217732,0.06243546699761608,0.05048548384952653,0.10442538886249161,0.06681779496568492,0.0677370646851206,0.06516142339542773,0.06820469342307375,0.06031367592293763
TI.P2.D,0.18052670493112627,0.13439616474518923,0.029486897905877794,0.1210600236021594,0.06197707142803353,0.10102869252291913,0.07598462793369837,0.0768301871831165,0.17794404508821632,0.0703525677482331,0.0,0.10406816063670804,0.11683558191499745,0.03185326400275278,0.1592742141517275,0.12330845590118793,0.04676577276596231,0.036878017971770094,0.03216831844350927,0.05349808510115967
TI.P2.R,0.17286583576531983,0.11310607401737528,0.10969839122825219,0.070655075500983,0.07029292156076525,0.025033622957653316,0.046315204880169936,0.038997972726823045,0.09929233811886289,0.05160196629217732,0.10406816063670804,0.0,0.03137254519251401,0.07922559463422138,0.08157823147987993,0.0459008934052591,0.10848284963248782,0.10288915894544266,0.11157157562221652,0.1065520453215435
TI.P3.D,0.15123865509677567,0.11169103035233033,0.1186913265402435,0.07556042273030661,0.07244564813816881,0.030031653674550837,0.05353392202193681,0.050099893189373454,0.08224429298793125,0.06243546699761608,0.11683558191499745,0.03137254519251401,0.0,0.09519620507203994,0.05335503403152419,0.026841253475574298,0.11684383096750323,0.11250079790709255,0.1159894170365817,0.10738990465752163
