,Unclassified,Anaeromyxobacter,Bradyrhizobium,Mycobacterium,Candidatus Sulfotelmatobacter,Syntrophorhabdus,Candidatus Sulfopaludibacter,Nitrospira,Geobacter,Clostridium,Desulfobacca,Paenibacillus,Streptomyces,Syntrophus,Pseudomonas,Thermodesulfovibrio,Syntrophobacter,Bacillus,Other genera
AM.P1,151.82563613530402,1.707030390134101,1.8370065089057914,0.5223397450211769,3.0076025473537484,0.14623140988391686,1.3497266819468436,0.7250061041042135,0.17086620126267768,0.5241210802931651,0.23855633074319296,0.2549348956809623,0.8000902770929044,0.10593985873371904,0.3578056916351506,0.1662547746199472,0.10240014240003281,0.10415884323819147,36.054292381646235
AM.P2,165.01841230708476,2.500612430501009,0.793179238803294,1.9263195810559877,0.4691758388213163,0.4042887269257729,0.3696260506205273,0.1971273452792729,0.28200181265599533,0.562271044732104,0.27137721342282795,0.37361159218153644,0.289808960054056,0.3666421618440559,0.2310224869886427,0.2504844596337716,0.1840703121176403,0.3267426357812164,25.18322580149622
TIA.P1,162.59501382924108,5.818040107761069,0.3943696795164433,0.17410190236002537,0.17746641940527905,0.5572200148044357,0.29771566983764214,0.3143596338295951,0.42556286395571385,0.35751727970617175,0.34332434738429196,0.3478252287046233,0.261219876267206,0.41257315957888085,0.26204421008242773,0.1533362692919639,0.22205017212679967,0.16547935196358549,26.72077998418277
TIA.P2,162.16874673505185,5.200796624885234,0.34842614044540016,0.1554912836756594,0.13948555750590524,0.516660935161658,0.33388269233285106,0.22816741662135295,0.40289433205720115,0.28984127182468533,0.42138122863212585,0.3922209152512548,0.2623076669692267,0.37156411305091275,0.27004772958243217,0.14702008203385142,0.2065827353854799,0.19512827385554837,27.94935426567737
TI.P1,149.0962266578547,6.77993280975802,1.2284887650902507,0.553310628570346,0.3418055040346579,0.48861535411643414,0.4829293211731621,0.5497944594745078,0.46559012970617497,0.2708644762771923,0.3442429034919303,0.35157112380514055,0.25838652669741735,0.3946281501791954,0.33204481409229625,0.18770194243651808,0.23618116351509708,0.1524921856539575,37.485193084073046
TI.P2,164.65392515359315,4.512238134604681,0.27844142846074177,0.1840487744890713,0.10954919707904673,0.4198011232576605,0.28342214712670805,0.1958440461728418,0.4664016019323273,0.5855764958938755,0.5652553275125622,0.36366661667144107,0.2768217537519521,0.3772037125364568,0.28672257128051515,0.39740227651245624,0.20724204773809518,0.2451639997412569,25.591273591645155
TI.P3,162.75979418424433,5.265184847029428,0.41061570161505767,0.31149628780385824,0.1298661333113375,0.4513928287455341,0.23232546665255754,0.27347839866146456,0.4820379746851706,0.33161234959367164,0.28385439359190867,0.3659625709014831,0.2615010697418051,0.3436466545849722,0.2527335987558442,0.3023351729439226,0.22255691175736766,0.1996692333966909,27.1199362219836
TI.P4,149.63299130872576,11.881277394666995,0.951414944980948,0.6394911644853754,0.35697864315290356,0.4322589865532285,0.2950044630425873,1.0850386211167493,0.5540025055083575,0.2989332908119383,0.1909423382204682,0.27206284363922995,0.3156846229024791,0.28405082926201175,0.331206243385109,0.31223851936622593,0.16995451677466844,0.10720410541483696,31.88926465799011
VI.P1,173.12624762506925,0.23048430827414618,0.316784200399281,0.11413813712967572,0.3608577484336823,0.6341024703072473,0.3945984353403532,0.2529828832772637,0.3584477725893079,0.297417261382792,0.4845927353528234,0.31659660976571213,0.29981288603115575,0.2850639568738359,0.20615288052337172,0.1563644812204093,0.297417261382792,0.19655603073390632,21.67138231591298
VI.P2,170.97229180799258,0.5039206518846671,0.25348792749360927,1.286170920403875,0.32055934636427064,0.44793254428671103,0.4120447065522823,0.17600578798495464,0.31457184629533114,0.34778364797304195,0.4586614636330546,0.38290173351726375,0.25981743192917434,0.28819065277398614,0.14560434659866478,0.16228360333473968,0.17755767992510416,0.2421607428709701,22.848053158185735
