domain,original_sample_id,standardized_sample_id,present_in_abundance,included_in_NMDS,exclusion_reason,NMDS1,NMDS2,point_drawn
Archaea,AM.P1.D,AM.P1.D,True,True,,-1.6115819893868917,-0.9331767543171238,True
Archaea,AM.P1.R,AM.P1.R,True,True,,-0.7623116660666964,-0.24377961744841148,True
Archaea,AM.P2.D,AM.P2.D,True,True,,-0.5430095542656432,0.37497979462914655,True
Archaea,AM.P2.R,AM.P2.R,True,True,,0.020494372876776648,-0.2496504953302413,True
Archaea,TIA.P1.D,TIA.P1.D,True,True,,0.3461483280162835,0.14299323739199785,True
Archaea,TIA.P1.R,TIA.P1.R,True,True,,0.8706523599023375,-0.024135915750329348,True
Archaea,TIA.P2.D,TIA.P2.D,True,True,,0.31752117254626333,0.14265454050381818,True
Archaea,TIA.P2.R,TIA.P2.R,True,True,,0.36378986927568746,0.10258921987285118,True
Archaea,TI.P1.D,TI.P1.D,True,True,,1.3171734270879727,0.025339718689233695,True
Archaea,TI.P1.R,TI.P1.R,True,True,,0.24725749616933076,-0.015848208165884645,True
Archaea,TI.P2.D,TI.P2.D,True,True,,-0.5032955941948377,0.26605903730026687,True
Archaea,TI.P2.R,TI.P2.R,True,True,,0.07014486366491744,0.264017279265761,True
Archaea,TI.P3.D,TI.P3.D,True,True,,0.6205565024898555,0.19656789475708536,True
Archaea,TI.P3.R,TI.P3.R,True,True,,-0.2265902119672056,0.1490716908530305,True
Archaea,TI.P4.D,TI.P4.D,True,True,,0.45706926955259974,-0.33108447262055213,True
Archaea,TI.P4.R,TI.P4.R,True,True,,0.05752364583339258,0.04363199471712227,True
Archaea,VI.P1.D,VI.P1.D,True,True,,-0.5465726748071953,0.04761292515498083,True
Archaea,VI.P1.R,VI.P1.R,True,True,,-0.47484141029453214,0.1366844658798275,True
Archaea,VI.P2.D,VI.P2.D,True,True,,-0.23439380235743545,0.08628687196747575,True
Archaea,VI.P2.R,VI.P2.R,True,True,,0.21426559592502123,-0.1808132073500554,True
