domain,original_sample_id,standardized_sample_id,pooled_sampling_position,present_in_abundance,present_in_environmental_metadata,included_in_RDA,exclusion_reason,RDA1,RDA2,panel,point_drawn,note
Archaea,AM.P1.D,AM.P1.D,AM.P1,True,True,True,,0.060526359875360584,-0.029129120833531204,Figure 5D / S17B,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Archaea,AM.P1.R,AM.P1.R,AM.P1,True,True,True,,0.060526359875360584,-0.029129120833531204,Figure 5D / S17B,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Archaea,AM.P2.D,AM.P2.D,AM.P2,True,True,True,,0.08838714431401186,-0.028535887814730734,Figure 5D / S17B,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Archaea,AM.P2.R,AM.P2.R,AM.P2,True,True,True,,0.08838714431401186,-0.028535887814730734,Figure 5D / S17B,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Archaea,TIA.P1.D,TIA.P1.D,TIA.P1,True,True,True,,-0.1199777253277437,-0.011492568201585814,Figure 5D / S17B,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Archaea,TIA.P1.R,TIA.P1.R,TIA.P1,True,True,True,,-0.1199777253277437,-0.011492568201585814,Figure 5D / S17B,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Archaea,TIA.P2.D,TIA.P2.D,TIA.P2,True,True,True,,-0.012689434621477409,0.023713855797973502,Figure 5D / S17B,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Archaea,TIA.P2.R,TIA.P2.R,TIA.P2,True,True,True,,-0.012689434621477409,0.023713855797973502,Figure 5D / S17B,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Archaea,TI.P1.D,TI.P1.D,TI.P1,True,True,True,,-0.1650254660142115,0.0010640363897808105,Figure 5D / S17B,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Archaea,TI.P1.R,TI.P1.R,TI.P1,True,True,True,,-0.1650254660142115,0.0010640363897808105,Figure 5D / S17B,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Archaea,TI.P2.D,TI.P2.D,TI.P2,True,True,True,,0.01813290337676428,0.02259394725234615,Figure 5D / S17B,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Archaea,TI.P2.R,TI.P2.R,TI.P2,True,True,True,,0.01813290337676428,0.02259394725234615,Figure 5D / S17B,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Archaea,TI.P3.D,TI.P3.D,TI.P3,True,True,True,,-0.0005743404321835218,0.00850331381169206,Figure 5D / S17B,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Archaea,TI.P3.R,TI.P3.R,TI.P3,True,True,True,,-0.0005743404321835218,0.00850331381169206,Figure 5D / S17B,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Archaea,TI.P4.D,TI.P4.D,TI.P4,True,True,True,,0.01946131325608896,-0.04119048327380222,Figure 5D / S17B,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Archaea,TI.P4.R,TI.P4.R,TI.P4,True,True,True,,0.01946131325608896,-0.04119048327380222,Figure 5D / S17B,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Archaea,VI.P1.D,VI.P1.D,VI.P1,True,True,True,,0.06501112563253851,0.0675270263391735,Figure 5D / S17B,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Archaea,VI.P1.R,VI.P1.R,VI.P1,True,True,True,,0.06501112563253851,0.0675270263391735,Figure 5D / S17B,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Archaea,VI.P2.D,VI.P2.D,VI.P2,True,True,True,,0.04674811994085167,-0.013054119467316027,Figure 5D / S17B,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Archaea,VI.P2.R,VI.P2.R,VI.P2,True,True,True,,0.04674811994085167,-0.013054119467316027,Figure 5D / S17B,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
