domain,original_sample_id,standardized_sample_id,present_in_abundance,included_in_NMDS,exclusion_reason,NMDS1,NMDS2,point_drawn
Bacteria,AM.P1.D,AM.P1.D,True,True,,-1.4948533032608697,0.02557011383761898,True
Bacteria,AM.P1.R,AM.P1.R,True,True,,-0.8788119192968726,0.037321578531126644,True
Bacteria,AM.P2.D,AM.P2.D,True,True,,0.4273963719596135,0.6321522286007403,True
Bacteria,AM.P2.R,AM.P2.R,True,True,,-0.38484592125711203,-0.14993999568420993,True
Bacteria,TIA.P1.D,TIA.P1.D,True,True,,0.2518794458603945,0.16744283359363915,True
Bacteria,TIA.P1.R,TIA.P1.R,True,True,,0.13772519900212252,-0.3469433648020281,True
Bacteria,TIA.P2.D,TIA.P2.D,True,True,,0.185457192712071,-0.06662159468894552,True
Bacteria,TIA.P2.R,TIA.P2.R,True,True,,0.21943446602737096,-0.13322497588216645,True
Bacteria,TI.P1.D,TI.P1.D,True,True,,-0.47738792351873943,-1.0415448513045833,True
Bacteria,TI.P1.R,TI.P1.R,True,True,,0.17138107019638693,0.004146547299724113,True
Bacteria,TI.P2.D,TI.P2.D,True,True,,0.46480237229514887,0.580661691507918,True
Bacteria,TI.P2.R,TI.P2.R,True,True,,0.22637385897547402,-0.4157977372770469,True
Bacteria,TI.P3.D,TI.P3.D,True,True,,0.06521679406327954,-0.49016434480394055,True
Bacteria,TI.P3.R,TI.P3.R,True,True,,0.3156418707819754,0.35818126278927953,True
Bacteria,TI.P4.D,TI.P4.D,True,True,,-0.30957558651920136,-0.8394206540396573,True
Bacteria,TI.P4.R,TI.P4.R,True,True,,-0.09204585229222267,-0.5137712605070378,True
Bacteria,VI.P1.D,VI.P1.D,True,True,,0.5915909975272291,0.48887115717096824,True
Bacteria,VI.P1.R,VI.P1.R,True,True,,0.24756050691572995,0.5669019239520892,True
Bacteria,VI.P2.D,VI.P2.D,True,True,,0.26408857230297067,0.6242600267639284,True
Bacteria,VI.P2.R,VI.P2.R,True,True,,0.06897178752525004,0.5119194149425828,True
