domain,original_sample_id,standardized_sample_id,pooled_sampling_position,present_in_abundance,present_in_environmental_metadata,included_in_RDA,exclusion_reason,RDA1,RDA2,panel,point_drawn,note
Bacteria,AM.P1.D,AM.P1.D,AM.P1,True,True,True,,0.0011217351232092117,-0.03149265435936191,Figure 4D / S17A,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Bacteria,AM.P1.R,AM.P1.R,AM.P1,True,True,True,,0.0011217351232092117,-0.03149265435936191,Figure 4D / S17A,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Bacteria,AM.P2.D,AM.P2.D,AM.P2,True,True,True,,0.004634828505654049,-0.0571877153978993,Figure 4D / S17A,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Bacteria,AM.P2.R,AM.P2.R,AM.P2,True,True,True,,0.004634828505654049,-0.0571877153978993,Figure 4D / S17A,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Bacteria,TIA.P1.D,TIA.P1.D,TIA.P1,True,True,True,,-0.05263369243914334,0.041011720994754516,Figure 4D / S17A,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Bacteria,TIA.P1.R,TIA.P1.R,TIA.P1,True,True,True,,-0.05263369243914334,0.041011720994754516,Figure 4D / S17A,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Bacteria,TIA.P2.D,TIA.P2.D,TIA.P2,True,True,True,,0.04236920585558148,0.019975590321883337,Figure 4D / S17A,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Bacteria,TIA.P2.R,TIA.P2.R,TIA.P2,True,True,True,,0.04236920585558148,0.019975590321883337,Figure 4D / S17A,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Bacteria,TI.P1.D,TI.P1.D,TI.P1,True,True,True,,-0.0778172051820046,-0.013900150668511886,Figure 4D / S17A,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Bacteria,TI.P1.R,TI.P1.R,TI.P1,True,True,True,,-0.0778172051820046,-0.013900150668511886,Figure 4D / S17A,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Bacteria,TI.P2.D,TI.P2.D,TI.P2,True,True,True,,-0.018040285973786804,0.03185321452016215,Figure 4D / S17A,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Bacteria,TI.P2.R,TI.P2.R,TI.P2,True,True,True,,-0.018040285973786804,0.03185321452016215,Figure 4D / S17A,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Bacteria,TI.P3.D,TI.P3.D,TI.P3,True,True,True,,-0.034971794610053814,0.02957602250001792,Figure 4D / S17A,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Bacteria,TI.P3.R,TI.P3.R,TI.P3,True,True,True,,-0.034971794610053814,0.02957602250001792,Figure 4D / S17A,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Bacteria,TI.P4.D,TI.P4.D,TI.P4,True,True,True,,-0.06739546187204301,-0.01939750901122184,Figure 4D / S17A,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Bacteria,TI.P4.R,TI.P4.R,TI.P4,True,True,True,,-0.06739546187204301,-0.01939750901122184,Figure 4D / S17A,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Bacteria,VI.P1.D,VI.P1.D,VI.P1,True,True,True,,0.11495841735413617,0.03204488737805998,Figure 4D / S17A,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Bacteria,VI.P1.R,VI.P1.R,VI.P1,True,True,True,,0.11495841735413617,0.03204488737805998,Figure 4D / S17A,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Bacteria,VI.P2.D,VI.P2.D,VI.P2,True,True,True,,0.08777425323845066,-0.032483406277883216,Figure 4D / S17A,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
Bacteria,VI.P2.R,VI.P2.R,VI.P2,True,True,True,,0.08777425323845066,-0.032483406277883216,Figure 4D / S17A,True,Dry and rainy metagenomes pooled at the sampling-position level because physicochemical measurements are position-level.
