Column order,MAG identifier,Taxonomic label used in figure,Full source taxonomic classification,Original matrix column
1,MAG01,Thermoplasmata RBG-16-68-12,Thermoplasmata RBG-16-68-12,Thermoplasmata RBG-16-68-12 - MAG01
2,MAG02,Unclassified,Unclassified MAG,Unclassified MAG - MAG02
3,MAG03,Ca. Aminicenantes,Candidatus Aminicenantes,Candidatus Aminicenantes  - MAG03
4,MAG04,Acidobacteria bact. U,Acidobacteria bacterium U,Acidobacteria bacterium U - MAG04
5,MAG05,Ca. Bathyarchaeota,Candidatus Bathyarchaeota,Candidatus Bathyarchaeota - MAG05
6,MAG06,Ca. Bathyarchaeota,Candidatus Bathyarchaeota,Candidatus Bathyarchaeota - MAG06
7,MAG07,Ca. Bathyarchaeota,Candidatus Bathyarchaeota,Candidatus Bathyarchaeota - MAG07
8,MAG08,Trebonia kvetii,Trebonia kvetii,Trebonia kvetii - MAG08
9,MAG09,Anaeromyxobacter sp. Red267,Anaeromyxobacter sp. Red267,Anaeromyxobacter sp. Red267 - MAG09
10,MAG10,Ca. Bathyarchaeota,Candidatus Bathyarchaeota,Candidatus Bathyarchaeota - MAG10
11,MAG11,Nitrososphaeria archeon E,Nitrososphaeria archeon E,Nitrososphaeria archeon E - MAG11
12,MAG12,Dehalococcoides mccartyi,Dehalococcoides mccartyi,Dehalococcoides mccartyi - MAG12
13,MAG13,Nitrospirales bact. L,Nitrospirales bacterium L,Nitrospirales bacterium L - MAG13
14,MAG14,Spirochaetes bact. RB,Spirochaetes bacterium RB,Spirochaetes bacterium RB - MAG14
15,MAG15,Bacteroidota UBA6906,Bacteroidota UBA6906,Bacteroidota UBA6906 - MAG15
16,MAG16,Ca. Bathyarchaeota,Candidatus Bathyarchaeota,Candidatus Bathyarchaeota - MAG16
17,MAG17,Thermoplasmata arch. S,Thermoplasmata archaeon S,Thermoplasmata archaeon S - MAG17
18,MAG18,Dehalococcoidia bact.,Dehalococcoidia bacterium,Dehalococcoidia bacterium - MAG18
19,MAG19,Euryarchaeota arch. RB,Euryarchaeota archaeon RB,Euryarchaeota archaeon RB - MAG19
20,MAG20,Ca. Bathyarchaeota,Candidatus Bathyarchaeota,Candidatus Bathyarchaeota - MAG20
21,MAG21,Ca. Bathyarchaeota,Candidatus Bathyarchaeota,Candidatus Bathyarchaeota - MAG21
22,MAG22,Ca. Bathyarchaeota,Candidatus Bathyarchaeota,Candidatus Bathyarchaeota - MAG22
23,MAG24,Ca. Bathyarchaeota,Candidatus Bathyarchaeota,Candidatus Bathyarchaeota - MAG24
24,MAG25,Nitrosotalea sp,Nitrosotalea sp,Nitrosotalea sp - MAG25
25,MAG26,Burkholderiales bact.,Burkholderiales bacterium,Burkholderiales bacterium - MAG26
26,MAG27,Planctomycetes bact.,Planctomycetes bacterium,Planctomycetes bacterium  - MAG27
27,MAG28,Unclassified,Unclassified MAG,Unclassified MAG - MAG28
28,MAG29,Ca. Aminicenantes,Candidatus Aminicenantes,Candidatus Aminicenantes  - MAG29
29,MAG30,Anaerolineales bact.,Anaerolineales bacterium,Anaerolineales bacterium - MAG30
30,MAG31,Thermoflexales bact.,Thermoflexales bacterium,Thermoflexales bacterium - MAG31
31,MAG32,Lokiarchaeia arch.,Lokiarchaeia archaeon,Lokiarchaeia archaeon - MAG32
32,MAG33,Thermoflexales bact.,Thermoflexales bacterium,Thermoflexales bacterium  - MAG33
33,MAG34,Hydrococcus,Hydrococcus,Hydrococcus - MAG34
34,MAG35,Acidobacteria bact. U,Acidobacteria bacterium U,Acidobacteria bacterium U - MAG35
35,MAG36,Ca. Bathyarchaeota,Candidatus Bathyarchaeota,Candidatus Bathyarchaeota - MAG36
36,MAG37,Euryarchaeota arch. RB,Euryarchaeota archaeon RB,Euryarchaeota archaeon RB - MAG37
37,MAG38,Ca. Bathyarchaeota,Candidatus Bathyarchaeota,Candidatus Bathyarchaeota - MAG38
38,MAG39,Lokiarchaeia arch.,Lokiarchaeia archaeon,Lokiarchaeia archaeon - MAG39
39,MAG40,Desulfobacterota bacteriu,Desulfobacterota bacteriu,Desulfobacterota bacteriu - MAG40
40,MAG41,Dehalococcoidia bact.,Dehalococcoidia bacterium,Dehalococcoidia bacterium - MAG41
41,MAG42,Dehalococcoidia bact.,Dehalococcoidia bacterium,Dehalococcoidia bacterium - MAG42
42,MAG43,Acidobacteria bact. U,Acidobacteria bacterium U,Acidobacteria bacterium U - MAG43
43,MAG44,Anaerolineae bact. UB,Anaerolineae bacterium UB,Anaerolineae bacterium UB - MAG44
44,MAG45,Ca. Aminicenantes,Candidatus Aminicenantes,Candidatus Aminicenantes  - MAG45
45,MAG46,Ca. Methanopereden,Candidatus Methanopereden,Candidatus Methanopereden - MAG46
46,MAG47,Unclassified,Unclassified MAG,Unclassified MAG - MAG47
47,MAG48,Lokiarchaeia arch.,Lokiarchaeia archaeon,Lokiarchaeia archaeon - MAG48
