__module_id__,Module_name,Biogeochemical_cycle,Relation_to_iron,Table_S8_biomarker_KOs,Reason_for_inclusion,Acid mine drainage 3300038494,Lab enriched acid 3300038413,Acid mine drainage 3300008567,Acid mine drainage 3300030091,Hydrotherm Fe rich 3300023310,Metatransc of lab 3300046014,Metatransc of lab 3300055056,Freshwater sediment microbial 3300010391,Freshwater sediment microbial 3300031898,Freshwater microbial communitie 3300024300,Metatransc of lab 3300055061,Hydrotherm Fe rich 3300023368,Acid mine drainage 3300038487,Freshwater sediment microbial 3300031593,Acid mine drainage 3300030082,Freshwater sediment microbial 3300031604,Freshwater sediment microbial 3300021518,Acid mine drainage 3300030398,Acid mine drainage 3300030242,Hydrotherm Fe rich 3300023439,Freshwater microbial communitie 3300024333,Lab enriched sediment 3300039027,Acid mine drainage 3300039205,Freshwater microbial communitie 3300043827,Lab enriched acid 3300038471,Acid mine drainage 3300030335,Freshwater microbial communitie 3300028737,Lab enriched acid 3300038411,Freshwater sediment microbial 3300031877,Acid mine drainage 3300038731,Acid mine drainage 3300038979,Hydrotherm Fe rich 3300023548,Metatransc of freshwater 3300061576,Acid mine drainage 3300038486,Freshwater sediment microbial 3300031587,Acid Mine Drainage 3300005360,Acid mine drainage 3300008723,Acid mine drainage 3300038493,Freshwater sediment microbial 3300036045,Metatransc of lab 3300046013,Acid mine drainage 3300038729,Acid mine drainage 3300030413,Lab enriched acid 3300038412,Freshwater sediment microbial 3300031806,Metatransc of lab 3300055057,Hydrotherm Fe rich 3300023440,Lab enriched sediment 3300039028,Acid mine drainage 3300008566,Freshwater microbial communitie 3300024341,Freshwater sediment microbial 3300021517,Metatransc of lab 3300055062,Hydrotherm Fe rich 3300023442,Freshwater sediment microbial 3300036046,Hydrotherm Fe rich 3300023313,Acid mine drainage 3300039211,Acid mine drainage 3300008721,Pink biofilm microbial 3300003104,Acid mine drainage 3300038681,Acid mine drainage 3300030228,Metatransc of lab 3300055069,Acid Mine Drainage 2010484004,Hydrotherm Fe rich 3300023307,Freshwater sediment microbial 3300031876,Freshwater microbial communitie 3300023177,Biofilm microbial communitie 3300021476,Acid Mine Drainage 3300003083,Hydrotherm Fe rich 3300023444
M00528,"Nitrification, ammonia -> nitrite",Nitrogen,No direct iron relation assigned,K10535; K10944; K10945; K10946,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,Incomplete,Complete,Incomplete,Incomplete,1 block missing,Complete,1 block missing,Complete,Incomplete,Complete,1 block missing,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Complete,1 block missing,Incomplete,1 block missing,Complete,Incomplete,Complete,Complete,Incomplete,Incomplete,Incomplete,1 block missing,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,1 block missing,Incomplete,Incomplete,Complete,Incomplete,1 block missing,Complete,1 block missing,Incomplete,Complete,Incomplete,Incomplete,Complete,Complete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,1 block missing,Incomplete,Complete,1 block missing,Incomplete,Complete
M00529,"Denitrification, nitrate -> nitrogen",Nitrogen,No direct iron relation assigned,K00368; K00370; K00371; K00376; K02305; K02567; K04561; K15864,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,Incomplete,Complete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Complete,1 block missing,Complete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Complete,Complete,1 block missing,Incomplete,Incomplete,Complete,Incomplete,Complete,Complete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Complete,Complete,Incomplete,Complete,Complete,Incomplete,Complete,Complete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Complete,Incomplete,Complete
M00530,"Dissimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K00362; K00363; K00370; K00371; K02567; K03385; K15876,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Complete,Complete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Complete,Complete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,1 block missing,Complete,Incomplete,Complete,Complete,Incomplete,Complete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Complete,Incomplete,1 block missing
M00804,"Complete nitrification, comammox, ammonia -> nitrite -> nitrate",Nitrogen,No direct iron relation assigned,K00370; K00371; K10535; K10944; K10945; K10946,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,Incomplete,Complete,Incomplete,Incomplete,1 block missing,Complete,1 block missing,Complete,Incomplete,Complete,1 block missing,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Complete,1 block missing,Incomplete,Incomplete,Complete,Incomplete,Complete,Complete,Incomplete,Incomplete,Incomplete,1 block missing,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,1 block missing,Incomplete,Incomplete,Complete,Incomplete,1 block missing,Complete,1 block missing,Incomplete,Complete,Incomplete,Incomplete,Complete,Complete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,1 block missing,Incomplete,Complete,1 block missing,Incomplete,Complete
M00165,Reductive pentose phosphate cycle (Calvin cycle),Carbon,No direct iron relation assigned,K00855; K01601; K01602,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete
M00166,"Reductive pentose phosphate cycle, ribulose-5P -> glyceraldehyde-3P",Carbon,No direct iron relation assigned,K00855; K01601; K01602,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,1 block missing,Incomplete,1 block missing,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,1 block missing,1 block missing,Incomplete,Incomplete,1 block missing,1 block missing,Incomplete,Complete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,1 block missing,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,1 block missing,1 block missing,Incomplete,Complete,1 block missing,1 block missing,1 block missing,Complete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,1 block missing,Incomplete,Complete
M00376,3-Hydroxypropionate bi-cycle,Carbon,No direct iron relation assigned,K01961; K01962; K01963; K02160; K09709; K14468; K14469; K14470; K14471; K14472,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Complete,Incomplete,1 block missing,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,1 block missing,Incomplete,Incomplete
M00377,Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway),Carbon,No direct iron relation assigned,K00198; K05299; K14138; K15022,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Complete,Complete,Incomplete,Complete,Incomplete,Complete,Incomplete,Complete,1 block missing,Incomplete,Incomplete,Complete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Complete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Complete,Incomplete,Incomplete,Complete,1 block missing,Incomplete,Complete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Complete,1 block missing,Incomplete,Complete
M00422,"Acetyl-CoA pathway, CO2 -> acetyl-CoA",Carbon,No direct iron relation assigned,K00192; K00193; K00195,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,1 block missing,Complete,Complete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Complete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Complete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Complete,Incomplete,Incomplete,Complete
M00579,"Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA -> acetate",Carbon,No direct iron relation assigned,K00625; K00925; K13788; K15024,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,Incomplete,Complete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Complete,Complete,Complete,Incomplete,Complete,Incomplete,Complete,Incomplete,1 block missing,Complete,Incomplete,Incomplete,1 block missing,Complete,Incomplete,Incomplete,Complete,Complete,Incomplete,Complete,Complete,Complete,Incomplete,Incomplete,1 block missing,1 block missing,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Complete,Complete,Incomplete,Complete,Incomplete,Incomplete,Complete,Complete,Incomplete,Complete,Complete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Complete,Complete,Complete,Incomplete,Complete
