Short label,Original record identifier,Accession,Environmental group,Environment description,Sample type,Omics layer,Location,Project or source database
S65,3300038494,SRR359022,Richmond-AMD,"Acid mine drainage biofilm communities from Richmond mine site C75, Iron Mt, CA, USA - AMDC751110",Acid mine drainage,Metagenomics,"USA: Iron Mountain, California",PRJNA76185; Gs0129031; 3300038494
S37,3300038413,SRX9404295,Akron-AMD,"Lab enriched acid mine drainage microbial communities from Akron, Ohio, USA - WFPL2_21D",acid mine drainage,Metagenomics,"USA: Akron, Ohio",PRJNA650772; Gs0145645; 3300038413
S22,3300008567,SRR933584,Richmond-AMD,"Acid mine drainage (AMD) microbial communities of acidophilic biofilm from Richmond mine in California, USA - A-drift",Acid mine drainage,Metatranscriptomics,"USA: Richmond, California",PRJNA210320; Gs0117981; 3300008567
S4,3300030091,SRR359019,Richmond-AMD,"Acid mine drainage biofilm communities from Richmond mine site C75, Iron Mt, CA, USA - AMDC750608V3",Acid mine drainage,Metagenomics,"USA: Iron Mountain, California",PRJNA76185; Gs0129031; 3300030091
S15,3300023310,Not reported,Hydrothermal-Fe-mats,"Hydrothermal Fe-rich mat microbial community from Loihi Seamount, Hawaii, USA - 674-BM1-C3",Hydrothermal Fe-rich mat,Metagenomics,"USA: Loihi Seamount, Hawaii",Gs0133538; 3300023310
S30,3300046014,SRX30958252,Akron-AMD,"Metatranscriptome of lab enriched acid mine drainage microbial communities from Akron, Ohio, USA - WFPL1_14D (Metagenome Metatranscriptome)",acid mine drainage,Metatranscriptomics,"USA: Akron, Ohio",PRJNA1342058; Gs0145645; 3300046014
S2,3300055056,SRX31021849,Akron-AMD,"Metatranscriptome of lab enriched acid mine drainage microbial communities from Akron, Ohio, USA - PML3_0D (Metagenome Metatranscriptome)",acid mine drainage,Metatranscriptomics,"USA: Akron, Ohio",PRJNA1343333; Gs0145645; 3300055056
S64,3300010391,Not reported,Lake-Superior,"Freshwater sediment microbial communities from Lake Superior, USA - Station SU-17. Combined Assembly of Gp0155404, Gp0155335, Gp0155336, Gp0155336, Gp0155403, Gp0155406",Freshwater sediment,Combined assembly,"Lake Superior, USA",Gs0121509; 3300010391
S33,3300031898,SRX6422696,Lake-Towuti,"Freshwater sediment microbial communities from Lake Towuti, South Sulawesi, Indonesia - TDP7",sediment,Metagenomics,Indonesia: South Sulawesi,PRJNA539346; Gs0131992; 3300031898
S10,3300024300,SRX4480643,Lake-Matano,"Freshwater microbial communities from Lake Matano, South Sulawesi, Indonesia - Watercolumn_Matano_2014_102_MG",freshwater,Metagenomics,Indonesia: South Sulawesi,PRJNA468225; Gs0127566; 3300024300
