MAG ID,Sample alias,ENA analysis accession,Current ENA taxon ID,Current ENA scientific name,GTDB-Tk marker set,GTDB-Tk classification (r89),GTDB domain,GTDB phylum,GTDB class,GTDB order,GTDB family,GTDB genus,Candidate name to search in ENA taxonomy
MAG.1,AMZLL_BIN_001,ERZ29768260,115547,uncultured archaeon,ar122,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__RBG-16-68-12;g__RBG-16-68-12;s__,Archaea,Thermoplasmatota,Thermoplasmata,RBG-16-68-12,RBG-16-68-12,RBG-16-68-12,RBG-16-68-12 sp.
MAG.2,AMZLL_BIN_002,ERZ29768261,115547,uncultured archaeon,ar122,d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__Methanoperedens;s__,Archaea,Halobacterota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,Methanoperedens sp.
MAG.3,AMZLL_BIN_003,ERZ29768262,77133,uncultured bacterium,bac120,d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__;s__,Bacteria,Acidobacteriota,Aminicenantia,Aminicenantales,Aminicenantaceae,,
MAG.4,AMZLL_BIN_004,ERZ29768263,77133,uncultured bacterium,bac120,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__;s__,Bacteria,Acidobacteriota,Acidobacteriae,UBA7541,UBA7541,,
MAG.5,AMZLL_BIN_005,ERZ29768264,115547,uncultured archaeon,ar122,d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__B26-1;f__;g__;s__,Archaea,Crenarchaeota,Bathyarchaeia,B26-1,,,
MAG.6,AMZLL_BIN_006,ERZ29768265,115547,uncultured archaeon,ar122,d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__40CM-2-53-6;f__40CM-2-53-6;g__;s__,Archaea,Crenarchaeota,Bathyarchaeia,40CM-2-53-6,40CM-2-53-6,,
MAG.7,AMZLL_BIN_007,ERZ29768266,115547,uncultured archaeon,ar122,d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__20-14-0-80-47-9;s__,Archaea,Crenarchaeota,Bathyarchaeia,B26-1,UBA233,20-14-0-80-47-9,20-14-0-80-47-9 sp.
MAG.8,AMZLL_BIN_008,ERZ29768267,77133,uncultured bacterium,bac120,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Streptosporangiaceae;g__UBA9676;s__,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Streptosporangiaceae,UBA9676,UBA9676 sp.
MAG.9,AMZLL_BIN_009,ERZ29768268,77133,uncultured bacterium,bac120,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__;s__,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,,
MAG.10,AMZLL_BIN_010,ERZ29768269,115547,uncultured archaeon,ar122,d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__B26-1;f__;g__;s__,Archaea,Crenarchaeota,Bathyarchaeia,B26-1,,,
MAG.11,AMZLL_BIN_011,ERZ29768270,115547,uncultured archaeon,ar122,d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__EX4484-205;f__;g__;s__,Archaea,Crenarchaeota,Nitrososphaeria,EX4484-205,,,
MAG.12,AMZLL_BIN_012,ERZ29768271,77133,uncultured bacterium,bac120,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2777;f__RBG-13-53-26;g__RBG-13-53-26;s__,Bacteria,Chloroflexota,Dehalococcoidia,UBA2777,RBG-13-53-26,RBG-13-53-26,RBG-13-53-26 sp.
MAG.13,AMZLL_BIN_013,ERZ29768272,77133,uncultured bacterium,bac120,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA9159;g__;s__,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9159,,
MAG.14,AMZLL_BIN_014,ERZ29768273,77133,uncultured bacterium,bac120,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__RBG-16-67-19;g__;s__,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,RBG-16-67-19,,
MAG.15,AMZLL_BIN_015,ERZ29768274,77133,uncultured bacterium,bac120,d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA6906;g__;s__,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA6906,,
MAG.16,AMZLL_BIN_016,ERZ29768275,115547,uncultured archaeon,ar122,d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__B26-1;f__BA1;g__;s__,Archaea,Crenarchaeota,Bathyarchaeia,B26-1,BA1,,
MAG.17,AMZLL_BIN_017,ERZ29768276,115547,uncultured archaeon,ar122,d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__SM1-50;s__,Archaea,Thermoplasmatota,E2,DHVEG-1,DHVEG-1,SM1-50,SM1-50 sp.
MAG.18,AMZLL_BIN_018,ERZ29768277,77133,uncultured bacterium,bac120,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SZUA-161;f__SZUA-161;g__;s__,Bacteria,Chloroflexota,Dehalococcoidia,SZUA-161,SZUA-161,,
MAG.19,AMZLL_BIN_019,ERZ29768278,115547,uncultured archaeon,ar122,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__RBG-16-68-12;g__RBG-16-68-12;s__,Archaea,Thermoplasmatota,Thermoplasmata,RBG-16-68-12,RBG-16-68-12,RBG-16-68-12,RBG-16-68-12 sp.
MAG.20,AMZLL_BIN_020,ERZ29768279,115547,uncultured archaeon,ar122,d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__B26-1;f__;g__;s__,Archaea,Crenarchaeota,Bathyarchaeia,B26-1,,,
MAG.21,AMZLL_BIN_021,ERZ29768280,115547,uncultured archaeon,ar122,d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__B26-1;f__BA1;g__;s__,Archaea,Crenarchaeota,Bathyarchaeia,B26-1,BA1,,
MAG.22,AMZLL_BIN_022,ERZ29768281,115547,uncultured archaeon,ar122,d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__40CM-2-53-6;f__;g__;s__,Archaea,Crenarchaeota,Bathyarchaeia,40CM-2-53-6,,,
MAG.23,AMZLL_BIN_023,ERZ29768282,115547,uncultured archaeon,ar122,d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__B26-1;f__B26-1;g__;s__,Archaea,Crenarchaeota,Bathyarchaeia,B26-1,B26-1,,
MAG.24,AMZLL_BIN_024,ERZ29768283,115547,uncultured archaeon,ar122,d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__B26-1;f__;g__;s__,Archaea,Crenarchaeota,Bathyarchaeia,B26-1,,,
MAG.25,AMZLL_BIN_025,ERZ29768284,115547,uncultured archaeon,ar122,d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotalea;s__,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosotalea,Nitrosotalea sp.
MAG.26,AMZLL_BIN_026,ERZ29768285,77133,uncultured bacterium,bac120,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,,
MAG.27,AMZLL_BIN_027,ERZ29768286,77133,uncultured bacterium,bac120,d__Bacteria;p__Planctomycetota;c__UBA8742;o__;f__;g__;s__,Bacteria,Planctomycetota,UBA8742,,,,
MAG.28,AMZLL_BIN_028,ERZ29768287,115547,uncultured archaeon,ar122,d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__B26-1;f__BA1;g__;s__,Archaea,Crenarchaeota,Bathyarchaeia,B26-1,BA1,,
MAG.29,AMZLL_BIN_029,ERZ29768288,77133,uncultured bacterium,bac120,d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__RBG-16-66-30;g__;s__,Bacteria,Acidobacteriota,Aminicenantia,Aminicenantales,RBG-16-66-30,,
MAG.30,AMZLL_BIN_030,ERZ29768289,77133,uncultured bacterium,bac120,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__;g__;s__,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,,,
MAG.31,AMZLL_BIN_031,ERZ29768290,115547,uncultured archaeon,ar122,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__RBG-16-68-12;g__RBG-16-68-12;s__,Archaea,Thermoplasmatota,Thermoplasmata,RBG-16-68-12,RBG-16-68-12,RBG-16-68-12,RBG-16-68-12 sp.
MAG.32,AMZLL_BIN_032,ERZ29768291,115547,uncultured archaeon,ar122,d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__;f__;g__;s__,Archaea,Asgardarchaeota,Lokiarchaeia,,,,
MAG.33,AMZLL_BIN_033,ERZ29768292,77133,uncultured bacterium,bac120,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Thermoflexales;f__Fen-1058;g__;s__,Bacteria,Chloroflexota,Anaerolineae,Thermoflexales,Fen-1058,,
MAG.34,AMZLL_BIN_034,ERZ29768293,77133,uncultured bacterium,bac120,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Hydrococcus;s__,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcystaceae,Hydrococcus,Hydrococcus sp.
MAG.35,AMZLL_BIN_035,ERZ29768294,77133,uncultured bacterium,bac120,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__UBA7541;s__,Bacteria,Acidobacteriota,Acidobacteriae,UBA7541,UBA7541,UBA7541,UBA7541 sp.
MAG.36,AMZLL_BIN_036,ERZ29768295,115547,uncultured archaeon,ar122,d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__40CM-2-53-6;f__FEN-987;g__FEN-987;s__,Archaea,Crenarchaeota,Bathyarchaeia,40CM-2-53-6,FEN-987,FEN-987,FEN-987 sp.
MAG.37,AMZLL_BIN_037,ERZ29768296,115547,uncultured archaeon,ar122,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__RBG-16-68-12;g__RBG-16-68-12;s__,Archaea,Thermoplasmatota,Thermoplasmata,RBG-16-68-12,RBG-16-68-12,RBG-16-68-12,RBG-16-68-12 sp.
MAG.38,AMZLL_BIN_038,ERZ29768297,115547,uncultured archaeon,ar122,d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__40CM-2-53-6;f__;g__;s__,Archaea,Crenarchaeota,Bathyarchaeia,40CM-2-53-6,,,
MAG.39,AMZLL_BIN_039,ERZ29768298,115547,uncultured archaeon,ar122,d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__;f__;g__;s__,Archaea,Asgardarchaeota,Lokiarchaeia,,,,
MAG.40,AMZLL_BIN_040,ERZ29768299,77133,uncultured bacterium,bac120,d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__,Bacteria,Desulfobacterota,BSN033,BSN033,UBA1163,UBA1163,UBA1163 sp.
MAG.41,AMZLL_BIN_041,ERZ29768300,77133,uncultured bacterium,bac120,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__RBG-13-51-36;s__,Bacteria,Chloroflexota,Dehalococcoidia,GIF9,AB-539-J10,RBG-13-51-36,RBG-13-51-36 sp.
MAG.42,AMZLL_BIN_042,ERZ29768301,77133,uncultured bacterium,bac120,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2777;f__RBG-13-53-26;g__;s__,Bacteria,Chloroflexota,Dehalococcoidia,UBA2777,RBG-13-53-26,,
MAG.43,AMZLL_BIN_043,ERZ29768302,77133,uncultured bacterium,bac120,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__;s__,Bacteria,Acidobacteriota,Acidobacteriae,UBA7541,UBA7541,,
MAG.44,AMZLL_BIN_044,ERZ29768303,77133,uncultured bacterium,bac120,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA4142;f__UBA4142;g__UBA4142;s__,Bacteria,Chloroflexota,Anaerolineae,UBA4142,UBA4142,UBA4142,UBA4142 sp.
MAG.45,AMZLL_BIN_045,ERZ29768304,77133,uncultured bacterium,bac120,d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__UBA8522;g__;s__,Bacteria,Acidobacteriota,Aminicenantia,Aminicenantales,UBA8522,,
MAG.46,AMZLL_BIN_046,ERZ29768305,115547,uncultured archaeon,ar122,d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__B26-1;f__BA1;g__;s__,Archaea,Crenarchaeota,Bathyarchaeia,B26-1,BA1,,
MAG.47,AMZLL_BIN_047,ERZ29768306,115547,uncultured archaeon,ar122,d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__;f__;g__;s__,Archaea,Asgardarchaeota,Lokiarchaeia,,,,
MAG.48,AMZLL_BIN_048,ERZ29768307,115547,uncultured archaeon,ar122,d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__;f__;g__;s__,Archaea,Asgardarchaeota,Lokiarchaeia,,,,
MAG.49,AMZLL_BIN_049,ERZ29768308,2024843,Candidatus Nitrosopumilus sp.,,Unclassified,,,,,,,
