MAG,archive,record_id,region_number,start,end,products,rules,type
MAG.1,antismash/bin.1.2024843.feature_dna.zip,fig2024843.108.peg.498,,0,1002,terpene-precursor,,
MAG.1,antismash/bin.1.zip,NODE_3004_length_8002_cov_6.863345,,0,8002,betalactone,,
MAG.10,antismash/bin.10.zip,NODE_2497_length_8663_cov_6.306227,,0,8663,terpene-precursor,,
MAG.10,antismash/bin.10.zip,NODE_2704_length_8351_cov_5.440574,,0,8351,terpene-precursor,,
MAG.10,antismash/bin.10.zip,NODE_2780_length_8259_cov_7.610922,,0,8259,RiPP-like,,
MAG.10,antismash/bin.10.zip,NODE_5171_length_6142_cov_5.718745,,0,6142,terpene-precursor,,
MAG.11,antismash/bin.11.zip,NODE_11425_length_4168_cov_4.144663,,0,4168,terpene,,
MAG.11,antismash/bin.11.zip,NODE_74891_length_1643_cov_3.847607,,0,1643,terpene-precursor,,
MAG.12,antismash/bin.12.zip,NODE_2723_length_8326_cov_5.123322,,0,8326,terpene-precursor,,
MAG.13,antismash/bin.13.strict.metawrap.repaired.zip,NODE_14_length_48778_cov_3.346523,23193,23193,44544,ranthipeptide; triceptide,,
MAG.13,antismash/bin.13.strict.metawrap.repaired.zip,NODE_23_length_36981_cov_3.405972,,0,35278,NRPS-like,,
MAG.13,antismash/bin.13.strict.metawrap.repaired.zip,NODE_30_length_26596_cov_3.746257,,0,16966,RRE-containing,,
MAG.13,antismash/bin.13.strict.metawrap.repaired.zip,NODE_34_length_24332_cov_2.737951,,0,11309,terpene,,
MAG.13,antismash/bin.13.strict.metawrap.repaired.zip,NODE_99_length_7245_cov_2.529436,,0,7245,darobactin,,
MAG.13,antismash/bin.13.strict.metawrap.repaired.zip,NODE_150_length_2220_cov_2.037797,,0,2220,ranthipeptide; triceptide,,
MAG.14,antismash/bin.14.orig.metawrap.repaired.zip,NODE_9785_length_4506_cov_3.686812,,0,4506,terpene-precursor,,
MAG.14,antismash/bin.14.orig.metawrap.repaired.zip,NODE_17437_length_3361_cov_3.693285,,0,3361,terpene-precursor,,
MAG.14,antismash/bin.14.orig.metawrap.repaired.zip,NODE_24639_length_2817_cov_3.622737,,0,2817,terpene,,
MAG.14,antismash/bin.14.orig.metawrap.repaired.zip,NODE_28172_length_2637_cov_3.546088,,0,2637,terpene,,
MAG.14,antismash/bin.14.orig.metawrap.repaired.zip,NODE_33032_length_2439_cov_3.416946,,0,2439,terpene-precursor,,
MAG.14,antismash/bin.14.orig.metawrap.repaired.zip,NODE_95777_length_1460_cov_4.249110,,0,1460,terpene,,
MAG.15,antismash/bin.15.orig.metawrap.1.repaired.zip,NODE_1447_length_11147_cov_3.559322,,0,11147,terpene,,
MAG.15,antismash/bin.15.orig.metawrap.1.repaired.zip,NODE_2419_length_8792_cov_3.746595,,0,8792,NRPS,,
MAG.15,antismash/bin.15.orig.metawrap.1.repaired.zip,NODE_5718_length_5844_cov_3.241665,,0,5844,NRPS,,
MAG.15,antismash/bin.15.orig.metawrap.1.repaired.zip,NODE_9061_length_4679_cov_3.030493,,0,4679,NRPS,,
MAG.15,antismash/bin.15.orig.metawrap.1.repaired.zip,NODE_20989_length_3053_cov_3.366911,,0,3053,NRPS,,
MAG.15,antismash/bin.15.orig.metawrap.1.repaired.zip,NODE_21275_length_3031_cov_3.113575,,0,3031,NRPS,,
MAG.15,antismash/bin.15.orig.metawrap.1.repaired.zip,NODE_22275_length_2964_cov_2.626676,,0,2964,NRPS,,
MAG.15,antismash/bin.15.orig.metawrap.1.repaired.zip,NODE_23376_length_2892_cov_3.753965,,0,2892,RRE-containing,,
MAG.15,antismash/bin.15.orig.metawrap.1.repaired.zip,NODE_26577_length_2715_cov_2.978571,,0,2715,T3PKS,,
MAG.15,antismash/bin.15.orig.metawrap.1.repaired.zip,NODE_38307_length_2268_cov_4.385901,,0,2268,terpene-precursor,,
MAG.15,antismash/bin.15.orig.metawrap.1.repaired.zip,NODE_44091_length_2119_cov_3.260659,,0,2119,NRPS,,
MAG.15,antismash/bin.15.orig.metawrap.1.repaired.zip,NODE_56879_length_1875_cov_2.809341,,0,1875,NRPS,,
MAG.15,antismash/bin.15.orig.metawrap.1.repaired.zip,NODE_57327_length_1868_cov_2.747380,,0,1868,NRPS-like,,
MAG.15,antismash/bin.15.orig.metawrap.1.repaired.zip,NODE_148598_length_1184_cov_2.592560,,0,1184,NRPS-like,,
MAG.16,antismash/bin.16.zip,NODE_3572_length_7342_cov_5.369837,,0,7342,terpene-precursor,,
MAG.17,antismash/bin.17.orig.metawrap.zip,NODE_3376_length_7560_cov_3.759094,,0,7560,RiPP-like,,
MAG.17,antismash/bin.17.orig.metawrap.zip,NODE_11602_length_4135_cov_3.581127,,0,4135,terpene-precursor,,
MAG.17,antismash/bin.17.orig.metawrap.zip,NODE_13059_length_3893_cov_3.389005,,0,3893,terpene-precursor,,
MAG.18,antismash/bin.18.strict.metawrap.1.repaired.zip,NODE_5_length_49508_cov_3.640125,23572,23572,40524,phosphonate,,
MAG.18,antismash/bin.18.strict.metawrap.1.repaired.zip,NODE_16_length_30288_cov_3.843766,17655,17655,30288,hserlactone,,
MAG.18,antismash/bin.18.strict.metawrap.1.repaired.zip,NODE_25_length_23903_cov_2.041761,,0,19284,terpene-precursor,,
MAG.19,antismash/bin.19.strict.metawrap.repaired.zip,NODE_61_length_9783_cov_1.681022,,0,9783,terpene-precursor,,
MAG.19,antismash/bin.19.strict.metawrap.repaired.zip,NODE_109_length_5696_cov_1.340274,,0,5696,nucleoside,,
MAG.2,antismash/bin.2.zip,NODE_19793_length_3150_cov_3.290145,,0,3150,terpene-precursor,,
MAG.2,antismash/bin.2.zip,NODE_41380_length_2184_cov_3.001879,,0,2184,thioamitides,,
MAG.21,antismash/bin.21.strict.metawrap.1.repaired.zip,NODE_13_length_12890_cov_2.096152,,0,12890,terpene-precursor,,
MAG.21,antismash/bin.21.strict.metawrap.1.repaired.zip,NODE_32_length_8833_cov_1.293741,,0,8833,terpene-precursor,,
MAG.21,antismash/bin.21.strict.metawrap.1.repaired.zip,NODE_216_length_2070_cov_0.881586,,0,2070,RRE-containing,,
MAG.22,antismash/bin.22.orig.metawrap.1.repaired.zip,NODE_15293_length_3585_cov_6.994334,,0,3585,terpene-precursor,,
MAG.22,antismash/bin.22.orig.metawrap.1.repaired.zip,NODE_33213_length_2432_cov_4.398822,,0,2432,terpene-precursor,,
MAG.22,antismash/bin.22.orig.metawrap.1.repaired.zip,NODE_41410_length_2183_cov_4.094455,,0,2183,terpene,,
MAG.23,antismash/bin.23.permissive.metawrap.repaired.zip,NODE_43_length_7692_cov_3.734077,,0,7692,terpene-precursor,,
MAG.23,antismash/bin.23.permissive.metawrap.repaired.zip,NODE_81_length_4846_cov_2.320193,,0,4846,RRE-containing,,
MAG.24,antismash/bin.24.orig.metawrap.1.repaired.zip,NODE_26365_length_2725_cov_3.988390,,0,2725,terpene-precursor,,
MAG.25,antismash/bin.25.permissive.metawrap.repaired.zip,NODE_61_length_6576_cov_3.550854,,0,6576,terpene-precursor,,
MAG.25,antismash/bin.25.permissive.metawrap.repaired.zip,NODE_79_length_5512_cov_3.091260,,0,5512,terpene-precursor,,
MAG.25,antismash/bin.25.permissive.metawrap.repaired.zip,NODE_132_length_3846_cov_2.765190,,0,3846,RRE-containing,,
MAG.26,antismash/bin.26.strict.metawrap.zip,NODE_16_length_17567_cov_2.127730,,0,17567,T1PKS,,
MAG.26,antismash/bin.26.strict.metawrap.zip,NODE_32_length_14349_cov_2.557525,2384,2384,13278,RiPP-like,,
MAG.26,antismash/bin.26.strict.metawrap.zip,NODE_35_length_13980_cov_2.456017,,0,13980,NRPS-like,,
MAG.26,antismash/bin.26.strict.metawrap.zip,NODE_109_length_8799_cov_2.298211,,0,8799,RRE-containing,,
MAG.26,antismash/bin.26.strict.metawrap.zip,NODE_153_length_7190_cov_2.485871,,0,7190,terpene,,
