Selection_order,Module_ID,Module_name,Biogeochemical_cycle,Relation_to_iron,Table_S8_biomarker_KOs,Table_S8_biomarker_categories,Table_S8_biomarker_details,Reason_for_inclusion,Module_KO_count,Module_KO_set,Module_catalog_source,Table_S8_source,Selection_script,Selection_rule
1,M00175,"Nitrogen fixation, nitrogen -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K02586; K02588; K02591,Nitrogen: Nitrogen fixation (reduction pathway),K02586: Nitrogen: Nitrogen fixation (reduction pathway) — nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1] (nifD) | K02588: Nitrogen: Nitrogen fixation (reduction pathway) — nitrogenase iron protein NifH (nifH) | K02591: Nitrogen: Nitrogen fixation (reduction pathway) — nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1] (nifK),Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,8,"K00531,K02586,K02588,K02591,K22896,K22897,K22898,K22899",data/final_kegg_st8_update/KEMET_module_KO_sets_extracted_from_lagoon_reportKMC.csv,tables/Supplementary_Table_8.xlsx,scripts/generate_s38_s41_module_figures.py,Thematic catalogue (Table S8 biomarker intersection and/or requested cycle) followed by at least one Complete status in each displayed matrix; all original cell states are preserved.
2,M00528,"Nitrification, ammonia -> nitrite",Nitrogen,No direct iron relation assigned,K10535; K10944; K10945; K10946,"Nitrification; Methane oxidation; Methanotrophs; Nitrogen: Nitrification; Complete nitrification, comammox (oxidation pathways)","K10535: Nitrogen: Nitrification; Complete nitrification, comammox (oxidation pathways) — hydroxylamine dehydrogenase [EC:1.7.2.6] (hao) | K10944: Nitrification; Methane oxidation; Methanotrophs — methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39] | K10945: Nitrification; Methane oxidation; Methanotrophs — methane/ammonia monooxygenase subunit B (pmoB-amoB) | K10946: Nitrification; Methane oxidation; Methanotrophs — methane/ammonia monooxygenase subunit C (pmoC-amoC)",Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,4,"K10535,K10944,K10945,K10946",data/final_kegg_st8_update/KEMET_module_KO_sets_extracted_from_lagoon_reportKMC.csv,tables/Supplementary_Table_8.xlsx,scripts/generate_s38_s41_module_figures.py,Thematic catalogue (Table S8 biomarker intersection and/or requested cycle) followed by at least one Complete status in each displayed matrix; all original cell states are preserved.
3,M00529,"Denitrification, nitrate -> nitrogen",Nitrogen,No direct iron relation assigned,K00368; K00370; K00371; K00376; K02305; K02567; K04561; K15864,Nitrogen: Assimilatory nitrate reduction (reduction pathway); Nitrogen: Denitrification (reduction pathway); Nitrogen: Dissimilatory nitrate reduction; Denitrification; Nitrification,"K00368: Nitrogen: Assimilatory nitrate reduction (reduction pathway) — nitrite reductase (NO-forming) [EC:1.7.2.1] (nirK) | K00370: Nitrogen: Dissimilatory nitrate reduction; Denitrification; Nitrification — nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-] (narG, narZ, nxrA) | K00371: Nitrogen: Dissimilatory nitrate reduction; Denitrification; Nitrification — nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-] (narH, narY, nxrB) | K00376: Nitrogen: Denitrification (reduction pathway) — nitrous-oxide reductase [EC:1.7.2.4] (nosZ) | K02305: Nitrogen: Denitrification (reduction pathway) — nitric oxide reductase subunit C (norC) | K02567: Nitrogen: Dissimilatory nitrate reduction; Denitrification; Nitrification — nitrate reductase (cytochrome) [EC:1.9.6.1] (napA) | K04561: Nitrogen: Denitrification (reduction pathway) — nitric oxide reductase subunit B [EC:1.7.2.5] (norB) | K15864: Nitrogen: Denitrification (reduction pathway) — nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1] (nirS)",Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,10,"K00368,K00370,K00371,K00374,K00376,K02305,K02567,K02568,K04561,K15864",data/final_kegg_st8_update/KEMET_module_KO_sets_extracted_from_lagoon_reportKMC.csv,tables/Supplementary_Table_8.xlsx,scripts/generate_s38_s41_module_figures.py,Thematic catalogue (Table S8 biomarker intersection and/or requested cycle) followed by at least one Complete status in each displayed matrix; all original cell states are preserved.
4,M00530,"Dissimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K00362; K00363; K00370; K00371; K02567; K03385; K15876,Iron oxidation; Nitrogen: Assimilatory nitrate reduction (reduction pathway); Nitrogen: Dissimilatory nitrate reduction (reduction pathway); Nitrogen: Dissimilatory nitrate reduction; Denitrification; Nitrification,"K00362: Nitrogen: Assimilatory nitrate reduction (reduction pathway) — nitrite reductase (NADH) large subunit [EC:1.7.1.15] (nirB) | K00363: Nitrogen: Assimilatory nitrate reduction (reduction pathway) — nitrite reductase (NADH) small subunit [EC:1.7.1.15] (nirD) | K00370: Nitrogen: Dissimilatory nitrate reduction; Denitrification; Nitrification — nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-] (narG, narZ, nxrA) | K00371: Nitrogen: Dissimilatory nitrate reduction; Denitrification; Nitrification — nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-] (narH, narY, nxrB) | K02567: Nitrogen: Dissimilatory nitrate reduction; Denitrification; Nitrification — nitrate reductase (cytochrome) [EC:1.9.6.1] (napA) | K03385: Nitrogen: Assimilatory nitrate reduction (reduction pathway) — nitrite reductase (cytochrome c-552) [EC:1.7.2.2] (nrfA) | K15876: Nitrogen: Dissimilatory nitrate reduction (reduction pathway) — cytochrome c nitrite reductase small subunit (nrfH) | K15876: Iron oxidation — cytochrome c nitrite reductase small subunit (nrfH)",Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,9,"K00362,K00363,K00370,K00371,K00374,K02567,K02568,K03385,K15876",data/final_kegg_st8_update/KEMET_module_KO_sets_extracted_from_lagoon_reportKMC.csv,tables/Supplementary_Table_8.xlsx,scripts/generate_s38_s41_module_figures.py,Thematic catalogue (Table S8 biomarker intersection and/or requested cycle) followed by at least one Complete status in each displayed matrix; all original cell states are preserved.
5,M00531,"Assimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,No direct iron relation assigned,K00360; K00366; K00367; K00372; K10534; K17877,Nitrogen: Assimilatory nitrate reduction (reduction pathway),K00360: Nitrogen: Assimilatory nitrate reduction (reduction pathway) — assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-] (nasB) | K00366: Nitrogen: Assimilatory nitrate reduction (reduction pathway) — ferredoxin-nitrite reductase [EC:1.7.7.1] (nirA) | K00367: Nitrogen: Assimilatory nitrate reduction (reduction pathway) — ferredoxin-nitrate reductase [EC:1.7.7.2] (narB) | K00372: Nitrogen: Assimilatory nitrate reduction (reduction pathway) — assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-] (nasA) | K10534: Nitrogen: Assimilatory nitrate reduction (reduction pathway) — nitrate reductase (NAD(P)H) [EC:1.7.1.1 1.7.1.2 1.7.1.3] (NR) | K17877: Nitrogen: Assimilatory nitrate reduction (reduction pathway) — nitrite reductase (NAD(P)H) [EC:1.7.1.4] (NIT-6),Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,6,"K00360,K00366,K00367,K00372,K10534,K17877",data/final_kegg_st8_update/KEMET_module_KO_sets_extracted_from_lagoon_reportKMC.csv,tables/Supplementary_Table_8.xlsx,scripts/generate_s38_s41_module_figures.py,Thematic catalogue (Table S8 biomarker intersection and/or requested cycle) followed by at least one Complete status in each displayed matrix; all original cell states are preserved.
6,M00615,Nitrate assimilation,Nitrogen,No direct iron relation assigned,K00360; K00366; K00367; K00372; K10534; K17877,Nitrogen: Assimilatory nitrate reduction (reduction pathway),K00360: Nitrogen: Assimilatory nitrate reduction (reduction pathway) — assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-] (nasB) | K00366: Nitrogen: Assimilatory nitrate reduction (reduction pathway) — ferredoxin-nitrite reductase [EC:1.7.7.1] (nirA) | K00367: Nitrogen: Assimilatory nitrate reduction (reduction pathway) — ferredoxin-nitrate reductase [EC:1.7.7.2] (narB) | K00372: Nitrogen: Assimilatory nitrate reduction (reduction pathway) — assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-] (nasA) | K10534: Nitrogen: Assimilatory nitrate reduction (reduction pathway) — nitrate reductase (NAD(P)H) [EC:1.7.1.1 1.7.1.2 1.7.1.3] (NR) | K17877: Nitrogen: Assimilatory nitrate reduction (reduction pathway) — nitrite reductase (NAD(P)H) [EC:1.7.1.4] (NIT-6),Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,11,"K00360,K00366,K00367,K00372,K02575,K10534,K15576,K15577,K15578,K15579,K17877",data/final_kegg_st8_update/KEMET_module_KO_sets_extracted_from_lagoon_reportKMC.csv,tables/Supplementary_Table_8.xlsx,scripts/generate_s38_s41_module_figures.py,Thematic catalogue (Table S8 biomarker intersection and/or requested cycle) followed by at least one Complete status in each displayed matrix; all original cell states are preserved.
7,M00804,"Complete nitrification, comammox, ammonia -> nitrite -> nitrate",Nitrogen,No direct iron relation assigned,K00370; K00371; K10535; K10944; K10945; K10946,"Nitrification; Methane oxidation; Methanotrophs; Nitrogen: Dissimilatory nitrate reduction; Denitrification; Nitrification; Nitrogen: Nitrification; Complete nitrification, comammox (oxidation pathways)","K00370: Nitrogen: Dissimilatory nitrate reduction; Denitrification; Nitrification — nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-] (narG, narZ, nxrA) | K00371: Nitrogen: Dissimilatory nitrate reduction; Denitrification; Nitrification — nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-] (narH, narY, nxrB) | K10535: Nitrogen: Nitrification; Complete nitrification, comammox (oxidation pathways) — hydroxylamine dehydrogenase [EC:1.7.2.6] (hao) | K10944: Nitrification; Methane oxidation; Methanotrophs — methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39] | K10945: Nitrification; Methane oxidation; Methanotrophs — methane/ammonia monooxygenase subunit B (pmoB-amoB) | K10946: Nitrification; Methane oxidation; Methanotrophs — methane/ammonia monooxygenase subunit C (pmoC-amoC)",Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,6,"K00370,K00371,K10535,K10944,K10945,K10946",data/final_kegg_st8_update/KEMET_module_KO_sets_extracted_from_lagoon_reportKMC.csv,tables/Supplementary_Table_8.xlsx,scripts/generate_s38_s41_module_figures.py,Thematic catalogue (Table S8 biomarker intersection and/or requested cycle) followed by at least one Complete status in each displayed matrix; all original cell states are preserved.
8,M00130,"Inositol phosphate metabolism, PI=> PIP2 -> Ins(1,4,5)P3 -> Ins(1,3,4,5)P4",Phosphorus,No direct iron relation assigned,None,None,None,Directly represents the requested phosphorus theme in the packaged KEGG/KEMET module catalogue. The Table S8 phosphorus biomarker K06163 (phnJ) has no module mapping in the packaged KEMET KO-set catalogue; inositol-phosphate modules were retained as the explicit phosphorus-associated module set without inventing a K06163 mapping.,12,"K00888,K00889,K00911,K01116,K05857,K05858,K05859,K05860,K05861,K13711,K13712,K19801",data/final_kegg_st8_update/KEMET_module_KO_sets_extracted_from_lagoon_reportKMC.csv,tables/Supplementary_Table_8.xlsx,scripts/generate_s38_s41_module_figures.py,Thematic catalogue (Table S8 biomarker intersection and/or requested cycle) followed by at least one Complete status in each displayed matrix; all original cell states are preserved.
9,M00131,"Inositol phosphate metabolism, Ins(1,3,4,5)P4 -> Ins(1,3,4)P3 -> myo-inositol",Phosphorus,No direct iron relation assigned,None,None,None,Directly represents the requested phosphorus theme in the packaged KEGG/KEMET module catalogue. The Table S8 phosphorus biomarker K06163 (phnJ) has no module mapping in the packaged KEMET KO-set catalogue; inositol-phosphate modules were retained as the explicit phosphorus-associated module set without inventing a K06163 mapping.,8,"K01092,K01106,K01107,K01109,K10047,K15422,K15759,K18649",data/final_kegg_st8_update/KEMET_module_KO_sets_extracted_from_lagoon_reportKMC.csv,tables/Supplementary_Table_8.xlsx,scripts/generate_s38_s41_module_figures.py,Thematic catalogue (Table S8 biomarker intersection and/or requested cycle) followed by at least one Complete status in each displayed matrix; all original cell states are preserved.
10,M00132,"Inositol phosphate metabolism, Ins(1,3,4)P3 -> phytate",Phosphorus,No direct iron relation assigned,None,None,None,Directly represents the requested phosphorus theme in the packaged KEGG/KEMET module catalogue. The Table S8 phosphorus biomarker K06163 (phnJ) has no module mapping in the packaged KEMET KO-set catalogue; inositol-phosphate modules were retained as the explicit phosphorus-associated module set without inventing a K06163 mapping.,4,"K00913,K00915,K01765,K10572",data/final_kegg_st8_update/KEMET_module_KO_sets_extracted_from_lagoon_reportKMC.csv,tables/Supplementary_Table_8.xlsx,scripts/generate_s38_s41_module_figures.py,Thematic catalogue (Table S8 biomarker intersection and/or requested cycle) followed by at least one Complete status in each displayed matrix; all original cell states are preserved.
