Module_id,Module_name,Status,Block_completeness,Missing_or_alternative_KOs,Detected_KOs,Completed_blocks,Total_blocks,Completeness_percent,Sample,Input_alias,Dataset,Report_file,Detected_KO_count,Missing_or_alternative_KO_count,Module_url,Detected_KO_links
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",COMPLETE,10__10,"K12407,K08074,K00918,K06859,K13810,K15916,K00918,K16305,K11389,K11389,K12406","K00844,K00845,K00886,K01810,K00850,K16370,K01623,K01624,K11645,K16306,K01803,K00134,K00150,K00927,K01834,K15633,K15634,K15635,K01689,K00873",10.0,10.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,20,9,https://www.kegg.jp/entry/M00001,https://www.kegg.jp/entry/K00134; https://www.kegg.jp/entry/K00150; https://www.kegg.jp/entry/K00844; https://www.kegg.jp/entry/K00845; https://www.kegg.jp/entry/K00850; https://www.kegg.jp/entry/K00873; https://www.kegg.jp/entry/K00886; https://www.kegg.jp/entry/K00927; https://www.kegg.jp/entry/K01623; https://www.kegg.jp/entry/K01624; https://www.kegg.jp/entry/K01689; https://www.kegg.jp/entry/K01803; https://www.kegg.jp/entry/K01810; https://www.kegg.jp/entry/K01834; https://www.kegg.jp/entry/K11645; https://www.kegg.jp/entry/K15633; https://www.kegg.jp/entry/K15634; https://www.kegg.jp/entry/K15635; https://www.kegg.jp/entry/K16306; https://www.kegg.jp/entry/K16370
M00002,"Glycolysis, core module involving three-carbon compounds",COMPLETE,6__6,"K11389,K11389,K12406","K01803,K00134,K00150,K00927,K01834,K15633,K15634,K15635,K01689,K00873",6.0,6.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,10,2,https://www.kegg.jp/entry/M00002,https://www.kegg.jp/entry/K00134; https://www.kegg.jp/entry/K00150; https://www.kegg.jp/entry/K00873; https://www.kegg.jp/entry/K00927; https://www.kegg.jp/entry/K01689; https://www.kegg.jp/entry/K01803; https://www.kegg.jp/entry/K01834; https://www.kegg.jp/entry/K15633; https://www.kegg.jp/entry/K15634; https://www.kegg.jp/entry/K15635
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",COMPLETE,8__8,"K01086,K04041","K01596,K01610,K01689,K01834,K15633,K15634,K15635,K00927,K00134,K00150,K01803,K01623,K01624,K11645,K01622,K03841,K02446,K11532",8.0,8.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,18,2,https://www.kegg.jp/entry/M00003,https://www.kegg.jp/entry/K00134; https://www.kegg.jp/entry/K00150; https://www.kegg.jp/entry/K00927; https://www.kegg.jp/entry/K01596; https://www.kegg.jp/entry/K01610; https://www.kegg.jp/entry/K01622; https://www.kegg.jp/entry/K01623; https://www.kegg.jp/entry/K01624; https://www.kegg.jp/entry/K01689; https://www.kegg.jp/entry/K01803; https://www.kegg.jp/entry/K01834; https://www.kegg.jp/entry/K02446; https://www.kegg.jp/entry/K03841; https://www.kegg.jp/entry/K11532; https://www.kegg.jp/entry/K11645; https://www.kegg.jp/entry/K15633; https://www.kegg.jp/entry/K15634; https://www.kegg.jp/entry/K15635
M00004,Pentose phosphate pathway (Pentose phosphate cycle),COMPLETE,8__8,"K13937,K19243,K13937,K06859,K13810,K15916","K00036,K01057,K07404,K00033,K01783,K01807,K01808,K00615,K00616,K01810",8.0,8.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,10,5,https://www.kegg.jp/entry/M00004,https://www.kegg.jp/entry/K00033; https://www.kegg.jp/entry/K00036; https://www.kegg.jp/entry/K00615; https://www.kegg.jp/entry/K00616; https://www.kegg.jp/entry/K01057; https://www.kegg.jp/entry/K01783; https://www.kegg.jp/entry/K01807; https://www.kegg.jp/entry/K01808; https://www.kegg.jp/entry/K01810; https://www.kegg.jp/entry/K07404
M00005,"PRPP biosynthesis, ribose 5P => PRPP",COMPLETE,1__1,,K00948,1.0,1.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,1,0,https://www.kegg.jp/entry/M00005,https://www.kegg.jp/entry/K00948
M00006,"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",COMPLETE,3__3,"K13937,K19243,K13937","K00036,K01057,K07404,K00033",3.0,3.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,4,2,https://www.kegg.jp/entry/M00006,https://www.kegg.jp/entry/K00033; https://www.kegg.jp/entry/K00036; https://www.kegg.jp/entry/K01057; https://www.kegg.jp/entry/K07404
M00007,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",COMPLETE,4__4,K13810,"K00615,K00616,K01783,K01807,K01808",4.0,4.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,5,1,https://www.kegg.jp/entry/M00007,https://www.kegg.jp/entry/K00615; https://www.kegg.jp/entry/K00616; https://www.kegg.jp/entry/K01783; https://www.kegg.jp/entry/K01807; https://www.kegg.jp/entry/K01808
M00008,"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",1 BLOCK MISSING,3__4,K01690,"K00036,K01057,K07404,K01625",3.0,4.0,75.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,4,1,https://www.kegg.jp/entry/M00008,https://www.kegg.jp/entry/K00036; https://www.kegg.jp/entry/K01057; https://www.kegg.jp/entry/K01625; https://www.kegg.jp/entry/K07404
M00009,"Citrate cycle (TCA cycle, Krebs cycle)",COMPLETE,8__8,"K05942,K01899,K18118,K00234,K00235,K00237,K18859,K18860,K00025,K00116","K01647,K01681,K01682,K00031,K00030,K00164,K00658,K00382,K00174,K00175,K00177,K00176,K01902,K01903,K01900,K00236,K00239,K00240,K00241,K00242,K00244,K00245,K00246,K00247,K01676,K01679,K01677,K01678,K00026,K00024",8.0,8.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,30,10,https://www.kegg.jp/entry/M00009,https://www.kegg.jp/entry/K00024; https://www.kegg.jp/entry/K00026; https://www.kegg.jp/entry/K00030; https://www.kegg.jp/entry/K00031; https://www.kegg.jp/entry/K00164; https://www.kegg.jp/entry/K00174; https://www.kegg.jp/entry/K00175; https://www.kegg.jp/entry/K00176; https://www.kegg.jp/entry/K00177; https://www.kegg.jp/entry/K00236; https://www.kegg.jp/entry/K00239; https://www.kegg.jp/entry/K00240; https://www.kegg.jp/entry/K00241; https://www.kegg.jp/entry/K00242; https://www.kegg.jp/entry/K00244; https://www.kegg.jp/entry/K00245; https://www.kegg.jp/entry/K00246; https://www.kegg.jp/entry/K00247; https://www.kegg.jp/entry/K00382; https://www.kegg.jp/entry/K00658; https://www.kegg.jp/entry/K01647; https://www.kegg.jp/entry/K01676; https://www.kegg.jp/entry/K01677; https://www.kegg.jp/entry/K01678; https://www.kegg.jp/entry/K01679; https://www.kegg.jp/entry/K01681; https://www.kegg.jp/entry/K01682; https://www.kegg.jp/entry/K01900; https://www.kegg.jp/entry/K01902; https://www.kegg.jp/entry/K01903
M00010,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",COMPLETE,3__3,K05942,"K01647,K01681,K01682,K00031,K00030",3.0,3.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,5,1,https://www.kegg.jp/entry/M00010,https://www.kegg.jp/entry/K00030; https://www.kegg.jp/entry/K00031; https://www.kegg.jp/entry/K01647; https://www.kegg.jp/entry/K01681; https://www.kegg.jp/entry/K01682
