bin_number,MAG,source_archive,index_html,json_file,antiSMASH_version,region_number_within_bin,contig_id,region_start,region_end,region_length_bp,products,categories,candidate_kinds,n_protoclusters_in_region,region_gbk_files
1,MAG.1,bin.1.strict.metawrap(1).zip,data/kegg_modules/mags/gbk_antismash/bin.1.strict.metawrap1/index.html,data/kegg_modules/mags/gbk_antismash/bin.1.strict.metawrap1/bin.1.strict.metawrap.json,8.0.4,1,NODE_45_length_7989_cov_1.922144,0,7989,7990,betalactone,other,single,1,NODE_45_length_7989_cov_1.922144.region001.gbk
2,MAG.2,,,,,,,,,,none identified,none identified,,0,
3,MAG.3,bin.3.permissive.metawrap.zip,data/kegg_modules/mags/gbk_antismash/bin.3.permissive.metawrap/index.html,data/kegg_modules/mags/gbk_antismash/bin.3.permissive.metawrap/bin.3.permissive.metawrap.json,8.0.4,1,NODE_62_length_7878_cov_2.276247,0,7878,7879,RRE-containing,RiPP,single,1,NODE_62_length_7878_cov_2.276247.region001.gbk
4,MAG.4,bin.4.zip,data/kegg_modules/mags/gbk_antismash/bin.4/bin.4/index.html,data/kegg_modules/mags/gbk_antismash/bin.4/bin.4/bin.4.strict.json,6.1.1,1,c00007_NODE_7_..,0,7825,7826,terpene,unknown,single,1,
4,MAG.4,bin.4.zip,data/kegg_modules/mags/gbk_antismash/bin.4/bin.4/index.html,data/kegg_modules/mags/gbk_antismash/bin.4/bin.4/bin.4.strict.json,6.1.1,2,c00038_NODE_38..,0,5278,5279,NRPS-like,unknown,single,1,
4,MAG.4,bin.4.zip,data/kegg_modules/mags/gbk_antismash/bin.4/bin.4/index.html,data/kegg_modules/mags/gbk_antismash/bin.4/bin.4/bin.4.strict.json,6.1.1,3,c00130_NODE_13..,0,3612,3613,NRPS-like,unknown,single,1,
4,MAG.4,bin.4.zip,data/kegg_modules/mags/gbk_antismash/bin.4/bin.4/index.html,data/kegg_modules/mags/gbk_antismash/bin.4/bin.4/bin.4.strict.json,6.1.1,4,c00175_NODE_17..,0,3178,3179,RiPP-like,unknown,single,1,
4,MAG.4,bin.4.zip,data/kegg_modules/mags/gbk_antismash/bin.4/bin.4/index.html,data/kegg_modules/mags/gbk_antismash/bin.4/bin.4/bin.4.strict.json,6.1.1,5,c00307_NODE_30..,0,2389,2390,ranthipeptide,unknown,single,1,
4,MAG.4,bin.4.zip,data/kegg_modules/mags/gbk_antismash/bin.4/bin.4/index.html,data/kegg_modules/mags/gbk_antismash/bin.4/bin.4/bin.4.strict.json,6.1.1,6,c00436_NODE_43..,0,1918,1919,NRPS-like,unknown,single,1,
4,MAG.4,bin.4.zip,data/kegg_modules/mags/gbk_antismash/bin.4/bin.4/index.html,data/kegg_modules/mags/gbk_antismash/bin.4/bin.4/bin.4.strict.json,6.1.1,7,c00564_NODE_56..,0,1627,1628,T3PKS,unknown,single,1,
5,MAG.5,,,,,,,,,,none identified,none identified,,0,
6,MAG.6,bin.6.strict.metawrap.zip,data/kegg_modules/mags/gbk_antismash/bin.6.strict.metawrap/index.html,data/kegg_modules/mags/gbk_antismash/bin.6.strict.metawrap/bin.6.strict.metawrap.json,8.0.4,1,NODE_24_length_12945_cov_2.440939,0,11065,11066,terpene-precursor,terpene,single,1,NODE_24_length_12945_cov_2.440939.region001.gbk
6,MAG.6,bin.6.strict.metawrap.zip,data/kegg_modules/mags/gbk_antismash/bin.6.strict.metawrap/index.html,data/kegg_modules/mags/gbk_antismash/bin.6.strict.metawrap/bin.6.strict.metawrap.json,8.0.4,2,NODE_119_length_5574_cov_2.156449,0,5574,5575,terpene-precursor,terpene,single,1,NODE_119_length_5574_cov_2.156449.region001.gbk
7,MAG.7,bin.7.orig.metawrap(1).zip,data/kegg_modules/mags/gbk_antismash/bin.7.orig.metawrap1/index.html,data/kegg_modules/mags/gbk_antismash/bin.7.orig.metawrap1/bin.7.orig.metawrap.json,8.0.4,1,NODE_4_length_89084_cov_13.679037,0,15778,15779,terpene-precursor,terpene,single,1,NODE_4_length_89084_cov_13.679037.region001.gbk
7,MAG.7,bin.7.orig.metawrap(1).zip,data/kegg_modules/mags/gbk_antismash/bin.7.orig.metawrap1/index.html,data/kegg_modules/mags/gbk_antismash/bin.7.orig.metawrap1/bin.7.orig.metawrap.json,8.0.4,2,NODE_29_length_50903_cov_12.218868,0,16246,16247,betalactone,other,single,1,NODE_29_length_50903_cov_12.218868.region001.gbk
7,MAG.7,bin.7.orig.metawrap(1).zip,data/kegg_modules/mags/gbk_antismash/bin.7.orig.metawrap1/index.html,data/kegg_modules/mags/gbk_antismash/bin.7.orig.metawrap1/bin.7.orig.metawrap.json,8.0.4,3,NODE_88_length_33983_cov_13.293858,0,24134,24135,T3PKS,PKS,single,1,NODE_88_length_33983_cov_13.293858.region001.gbk
7,MAG.7,bin.7.orig.metawrap(1).zip,data/kegg_modules/mags/gbk_antismash/bin.7.orig.metawrap1/index.html,data/kegg_modules/mags/gbk_antismash/bin.7.orig.metawrap1/bin.7.orig.metawrap.json,8.0.4,4,NODE_1571_length_10679_cov_15.011389,0,10679,10680,terpene-precursor,terpene,single,1,NODE_1571_length_10679_cov_15.011389.region001.gbk
8,MAG.8,bin.8.orig.metawrap.zip,data/kegg_modules/mags/gbk_antismash/bin.8.orig.metawrap/index.html,data/kegg_modules/mags/gbk_antismash/bin.8.orig.metawrap/bin.8.orig.metawrap.json,8.0.4,1,NODE_387_length_18920_cov_4.604453,0,17175,17176,terpene-precursor,terpene,single,1,NODE_387_length_18920_cov_4.604453.region001.gbk
8,MAG.8,bin.8.orig.metawrap.zip,data/kegg_modules/mags/gbk_antismash/bin.8.orig.metawrap/index.html,data/kegg_modules/mags/gbk_antismash/bin.8.orig.metawrap/bin.8.orig.metawrap.json,8.0.4,2,NODE_3803_length_7116_cov_4.415947,0,7116,7117,redox-cofactor,RiPP,single,1,NODE_3803_length_7116_cov_4.415947.region001.gbk
8,MAG.8,bin.8.orig.metawrap.zip,data/kegg_modules/mags/gbk_antismash/bin.8.orig.metawrap/index.html,data/kegg_modules/mags/gbk_antismash/bin.8.orig.metawrap/bin.8.orig.metawrap.json,8.0.4,3,NODE_4503_length_6546_cov_4.779079,0,6546,6547,terpene,terpene,single,1,NODE_4503_length_6546_cov_4.779079.region001.gbk
8,MAG.8,bin.8.orig.metawrap.zip,data/kegg_modules/mags/gbk_antismash/bin.8.orig.metawrap/index.html,data/kegg_modules/mags/gbk_antismash/bin.8.orig.metawrap/bin.8.orig.metawrap.json,8.0.4,4,NODE_6983_length_5293_cov_4.531691,0,5293,5294,NAPAA,NRPS,single,1,NODE_6983_length_5293_cov_4.531691.region001.gbk
