MAG_raw,CheckM_completeness_percent,CheckM_contamination_percent,GC_fraction,N50_bp,Genome_size_bp,CheckM_lineage,Species_definition,MAG,ENA sample alias,ENA analysis accession,ENA taxon ID,ENA scientific name
MAG.13.strict,100.0,2.0,0.496,29076,2667540,Bacteria,Nitrospirales bacterium LBB_01,MAG.13,AMZLL_BIN_013,ERZ29768272,77133,uncultured bacterium
MAG.37.orig,96.53,2.4,0.647,25963,2366063,Euryarchaeota,Euryarchaeota archaeon RBG-16-68-12,MAG.37,AMZLL_BIN_037,ERZ29768296,115547,uncultured archaeon
MAG.34.permissive,94.18,2.401,0.483,5293,4737358,Cyanobacteria,Hydrococcus,MAG.34,AMZLL_BIN_034,ERZ29768293,77133,uncultured bacterium
MAG.26.strict,93.81,2.074,0.682,8047,3188400,Proteobacteria,Burkholderiales bacterium,MAG.26,AMZLL_BIN_026,ERZ29768285,77133,uncultured bacterium
MAG.25.permissive,91.26,2.091,0.368,5995,1355181,Archaea,Nitrosotalea sp.,MAG.25,AMZLL_BIN_025,ERZ29768284,115547,uncultured archaeon
MAG.6.strict,91.12,0.467,0.524,7410,1784266,Archaea,Candidatus Bathyarchaeota archaeon 40CM-2-53-6,MAG.6,AMZLL_BIN_006,ERZ29768265,115547,uncultured archaeon
MAG.12.orig,89.76,0.33,0.585,8401,2213642,Bacteria,Dehalococcoides mccartyi ,MAG.12,AMZLL_BIN_012,ERZ29768271,77133,uncultured bacterium
MAG.7.orig,89.57,2.336,0.493,19113,1548046,Archaea,Candidatus Bathyarchaeota archaeon 20-14-0-80-47-9,MAG.7,AMZLL_BIN_007,ERZ29768266,115547,uncultured archaeon
MAG.9.orig,88.8,0.668,0.744,7764,4122778,Deltaproteobacteria,Anaeromyxobacter sp. Red267,MAG.9,AMZLL_BIN_009,ERZ29768268,77133,uncultured bacterium
MAG.30.orig,88.72,2.909,0.652,6973,3456760,Bacteria,Anaerolineales bacterium,MAG.30,AMZLL_BIN_030,ERZ29768289,77133,uncultured bacterium
MAG.19.strict,87.94,1.333,0.648,13121,1855204,Euryarchaeota,Thermoplasmata archaeon RBG-16-68-12,MAG.19,AMZLL_BIN_019,ERZ29768278,115547,uncultured archaeon
MAG.18.strict,87.84,0.99,0.488,16238,2579792,Bacteria,Dehalococcoidia bacterium SZUA-161,MAG.18,AMZLL_BIN_018,ERZ29768277,77133,uncultured bacterium
MAG.8.orig,86.41,1.871,0.712,5425,4071694,Actinomycetales,Trebonia kvetii ,MAG.8,AMZLL_BIN_008,ERZ29768267,77133,uncultured bacterium
MAG.40.orig,83.91,3.655,0.491,6716,4466865,Deltaproteobacteria,Desulfobacterales bacterium UBA1163,MAG.40,AMZLL_BIN_040,ERZ29768299,77133,uncultured bacterium
MAG.35.strict,83.82,0.118,0.579,8683,4307486,Bacteria,Acidobacteria bacterium UBA7541,MAG.35,AMZLL_BIN_035,ERZ29768294,77133,uncultured bacterium
MAG.43.strict,82.0,0.389,0.628,5926,3276146,Bacteria,Acidobacteria bacterium UBA7541,MAG.43,AMZLL_BIN_043,ERZ29768302,77133,uncultured bacterium
MAG.45.permissive,81.56,3.685,0.551,8719,2772903,Bacteria,Candidatus Aminicenantes bacterium UBA8522,MAG.45,AMZLL_BIN_045,ERZ29768304,77133,uncultured bacterium
