taxon_oid,NCBI Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID,GOLD Analysis Project Type,NCBI Phylum,NCBI Class,NCBI Order,NCBI Family,NCBI Genus,NCBI Species,IMG Release/Pipeline Version,IMG Submission ID,GOLD Analysis Project ID,GOLD Sequencing Project ID,GOLD Study ID,Add Date,Assembly Method,Comments,Has Coverage,Is Public,Public Release Date,Submission Type,Contact Email,Contact Name,NCBI Bioproject Accession,NCBI Biosample Accession,Sequencing Depth,Sequencing Method,Sequencing Quality,Sequencing Status.1,Sequencing Strategy,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Specific Ecosystem,Altitude In Meters,Depth In Meters,Elevation In Meters,Geographic Location,Habitat,Isolation,Isolation Country,Latitude,Longitude,Genome Size  * both,Gene Count  * both,Scaffold Count  * both,Bin Count  * both,EukCC Bin Count  * both,CRISPR Arrays  * both,GC Count  * both,GC  * both,Coding Base Count  * both,Coding Base Count %  * both,CDS Count  * both,CDS %  * both,RNA Count  * both,RNA % * both,rRNA Count  * both,5S rRNA Count  * both,16S rRNA Count  * both,18S rRNA Count  * both,23S rRNA Count  * both,28S rRNA Count  * both,tRNA Count  * both,Other RNA Count  * both,Unchar Count,Unchar %,w/ Func Pred Count  * both,w/ Func Pred %  * both,w/o function prediction * both,w/o function prediction % * both,Paralogs Count,Paralogs %,COG Count  * both,COG %  * both,KOG Count,KOG %,Pfam Count  * both,Pfam %  * both,TIGRfam Count  * both,TIGRfam %  * both,Enzyme Count  * both,Enzyme %  * both,KEGG Count  * both,KEGG %  * both,Not KEGG Count  * both,Not KEGG %  * both,KO Count  * both,KO %  * both,Not KO Count  * both,Not KO %  * both,MetaCyc Count  * both,MetaCyc %  * both,Not MetaCyc Count  * both,Not MetaCyc %  * both,Signal Peptide Count,Signal Peptide %,Transmembrane Count,Transmembrane %,Horizontally Transferred Count,Horizontally Transferred %,Paralog Group Count,COG Cluster Count  * both,KOG Cluster Count,Pfam Cluster Count  * both,TIGRfam Cluster Count  * both,SMC Biosynthetic Gene Cluster Count * both,Predicted Viruses,Predicted Plasmids,Estimated Number of Genomes * both,Estimated Average Genome Size * both,Estimated number of genomes - Marker genes average * both,Estimated number of genomes - Marker genes median * both,Estimated number of genomes - Marker genes mode * both,Standard deviation of marker gene counts * both,CheckM2 Completeness,CheckM2 Contamination,SRA ID,SRA Run,* Legacy EukCC Bin Count,Number of Filtered Reads  * assembled,Number of Mapped Reads  * assembled,% Assembled Reads  * assembled,Total Filtered Bases  * assembled,Total Mapped Bases  * assembled,Average Coverage of Assembled Sequences  * assembled,ST8_group,data_layer,data_layer_abbrev,sample_id_created_this_study,ST8_short_group,ST8_matrix_column,include_in_selected_ST8,core_comparison_group,matrix_column_all_KO,matrix_column_iron_KO,matrix_column_selected
3300038731,*Microbiome,Permanent Draft,"Acid mine drainage microbial biofilm communities from Richmond Mine, California, USA","Acid mine drainage biofilm communities from Richmond mine site C75, Iron Mt, CA, USA - AMDC751107","University of California, Berkeley",3300038731,Metagenome Analysis,Environmental,Aquatic,Freshwater,Groundwater,Acid Mine Drainage,"Acid mine drainage microbial biofilm communities from Richmond Mine, California, USA",IMG Annotation Pipeline v.5.0.15,217829,Ga0188182,Gp0213854,Gs0129031,2020-04-09,Custom JGI assembly v. Nielsen et. al.,,Yes,Yes,2020-04-09,Primary,,,PRJNA76185,SAMN00744465,,Illumina HiSeq 2000,,Complete,Metagenome,Environmental,Aquatic,Groundwater,Freshwater,Acid Mine Drainage,,,,"USA: Iron Mountain, California",Acid mine drainage,Richmond mine site C75,8855,40.67542,-122.53025,14524959,21464,7173,0,0,121,6378233,43.91,14466829,99.6,21022,97.94,442,2.06,42,7,13,0,22,0,400,0,,,12575,58.59,8447,39.35,,,12247,57.06,,,10672,49.72,3080,14,4226,19.69,4416,20.57,16606,77.37,7203,33.56,13819,64.38,2640,12.3,18382,85.64,,,,,,,,2332,,2274,1091,0,10.0,1.0,0,0,4.24,2,2,3.05,,,SRX103491,SRR359000,0,0,0,0.0,0,0,0.0,Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metagenomics,MGX,S1,Richmond-AMD,Richmond-AMD-MGX-S1-3300038731,True,Iron-rich comparison,Richmond-AMD-MGX-S1-3300038731,Richmond-AMD-MGX-S1-3300038731,Richmond-AMD-MGX-S1-3300038731
3300055056,*Microbiome,Permanent Draft,"Acid mine drainage microbial communities from coal mines in Pennsylvania and Ohio, United States","Metatranscriptome of lab enriched acid mine drainage microbial communities from Akron, Ohio, USA - PML3_0D (Metagenome Metatranscriptome)",DOE Joint Genome Institute  (JGI),3300055056,Metatranscriptome Analysis,Environmental,Aquatic,Freshwater,Groundwater,Acid Mine Drainage,"Acid mine drainage microbial communities from coal mines in Pennsylvania and Ohio, United States",IMG Annotation Pipeline v.v5.0.25.aws,274893,Ga0506623,Gp0595001,Gs0145645,2022-07-28,MEGAHIT v. 1.2.9,released based on JGI ITS,Yes,Yes,2022-07-28,Primary,shagun2260@gmail.com,Shagun sharma,PRJNA1343333,SAMN52641563,,Illumina NovaSeq S4,,Complete,Metatranscriptome,Environmental,Aquatic,Groundwater,Freshwater,Acid Mine Drainage,,,225.0,"USA: Akron, Ohio",acid mine drainage,Incubations created from mixture of PM and Wingfield pines AMD under room temperature,8855,41.07755,-81.511441,8929001,16125,12953,0,0,6,5076869,56.86,8661866,97.01,15456,95.85,669,4.15,468,28,29,36,158,217,201,0,,,9297,57.66,6159,38.2,,,8774,54.41,,,8576,53.18,2158,13,2206,13.68,4165,25.83,11291,70.02,6339,39.31,9117,56.54,1252,7.76,14204,88.09,,,,,,,,1532,,1676,464,0,,,0,0,9.71,6,0,11.3,,,SRX31021849,,0,41648570,18589455,44.63,5743112462,2563385265,287.09,Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metatranscriptomics,MTX,S2,Akron-AMD,Akron-AMD-MTX-S2-3300055056,True,Iron-rich comparison,Akron-AMD-MTX-S2-3300055056,Akron-AMD-MTX-S2-3300055056,Akron-AMD-MTX-S2-3300055056
3300038487,*Microbiome,Permanent Draft,"Acid mine drainage microbial biofilm communities from Richmond Mine, California, USA","Acid mine drainage biofilm communities from Richmond mine site C75, Iron Mt, CA, USA - AMDC750910","University of California, Berkeley",3300038487,Metagenome Analysis,Environmental,Aquatic,Freshwater,Groundwater,Acid Mine Drainage,"Acid mine drainage microbial biofilm communities from Richmond Mine, California, USA",IMG Annotation Pipeline v.5.0.14,217267,Ga0188180,Gp0213852,Gs0129031,2020-03-31,Custom JGI assembly v. Nielsen et. al.,,Yes,Yes,2020-03-31,Primary,,,PRJNA76185,SAMN00744470,,Illumina HiSeq 2000,,Complete,Metagenome,Environmental,Aquatic,Groundwater,Freshwater,Acid Mine Drainage,,,,"USA: Iron Mountain, California",Acid mine drainage,Richmond mine site C75,8855,40.67542,-122.53025,12568986,15639,2610,0,0,86,5421430,43.13,12517967,99.59,15280,97.7,359,2.3,34,7,9,1,17,0,325,0,,,9794,62.63,5486,35.08,,,9685,61.93,,,8744,55.91,2799,18,3218,20.58,3417,21.85,11863,75.86,5546,35.46,9734,62.24,2042,13.06,13238,84.65,,,,,,,,2134,,2151,1035,0,6.0,1.0,0,0,3.56,1,1,3.02,,,SRX103567,SRR359021,0,0,0,0.0,0,0,0.0,Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metagenomics,MGX,S3,Richmond-AMD,Richmond-AMD-MGX-S3-3300038487,True,Iron-rich comparison,Richmond-AMD-MGX-S3-3300038487,Richmond-AMD-MGX-S3-3300038487,Richmond-AMD-MGX-S3-3300038487
3300030091,*Microbiome,Permanent Draft,"Acid mine drainage microbial biofilm communities from Richmond Mine, California, USA","Acid mine drainage biofilm communities from Richmond mine site C75, Iron Mt, CA, USA - AMDC750608V3","University of California, Berkeley",3300030091,Metagenome Analysis,Environmental,Aquatic,Freshwater,Groundwater,Acid Mine Drainage,"Acid mine drainage microbial biofilm communities from Richmond Mine, California, USA",IMG Annotation Pipeline v.4.16.5,199772,Ga0188179,Gp0213851,Gs0129031,2018-10-12,Custom JGI assembly v. Nielsen et. al.,Updating visibility of taxon created using public NCBI SRA data from private to public -- IMGSUPP-3620,Yes,Yes,2022-02-23,Primary,,,PRJNA76185,SAMN00744468,,Illumina HiSeq 2000,,Complete,Metagenome,Environmental,Aquatic,Groundwater,Freshwater,Acid Mine Drainage,,,,"USA: Iron Mountain, California",Acid mine drainage,Richmond mine site C75,8855,40.67542,-122.53025,16255496,20757,5129,0,0,209,7318018,45.02,16194613,99.63,20318,97.89,439,2.11,34,9,11,0,14,0,405,0,,,12375,59.62,7943,38.27,,,11872,57.2,,,11608,55.92,0,0,4736,22.82,4972,23.95,15346,73.93,7961,38.35,12357,59.53,3002,14.46,17316,83.42,,,,,,,,2065,,2307,0,0,6.0,2.0,0,0,4.52,2,2,3.29,,,SRX103565,SRR359019,0,0,0,0.0,0,0,0.0,Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metagenomics,MGX,S4,Richmond-AMD,Richmond-AMD-MGX-S4-3300030091,True,Iron-rich comparison,Richmond-AMD-MGX-S4-3300030091,Richmond-AMD-MGX-S4-3300030091,Richmond-AMD-MGX-S4-3300030091
3300031604,*Microbiome,Permanent Draft,"Freshwater sediment microbial communities from Lake Towuti, South Sulawesi, Indonesia","Freshwater sediment microbial communities from Lake Towuti, South Sulawesi, Indonesia - TDP4",DOE Joint Genome Institute  (JGI),3300031604,Metagenome Analysis,Environmental,Aquatic,Freshwater,Lake,Sediment,"Freshwater sediment microbial communities from Lake Towuti, South Sulawesi, Indonesia",IMG Annotation Pipeline v.4.16.5,203080,Ga0315309,Gp0331166,Gs0131992,2018-11-16,SPAdes v. 3.12.0,,Yes,Yes,2019-01-23,Primary,rlsimister@gmail.com,Rachel Simister,PRJNA539344,SAMN11532921,,Illumina NovaSeq,Level 1: Standard Draft,Complete,Metagenome,Environmental,Aquatic,Lake,Freshwater,Sediment,,2.0,,Indonesia: South Sulawesi,sediment,Lake sediment,8763,-2.7726,121.4938,670074149,1322585,862510,0,0,287,323765895,48.32,668453792,99.76,1311420,99.16,11165,0.84,1906,251,566,0,1088,1,9259,0,,,776197,58.69,535223,40.47,,,748051,56.56,,,683808,51.7,0,0,332027,25.1,331825,25.09,979595,74.07,513397,38.82,798023,60.34,222039,16.79,1089381,82.37,,,,,,,,3567,,4644,0,0,173.0,0.0,0,0,186.73,84,53,164.45,,,SRX6422663,,0,85905946,65771158,76.56,12873655866,9856305569,14.71,Ferruginous lake/sediment group: Lake Towuti,Metagenomics,MGX,S5,Lake-Towuti,Lake-Towuti-MGX-S5-3300031604,True,Iron-rich comparison,Lake-Towuti-MGX-S5-3300031604,Lake-Towuti-MGX-S5-3300031604,Lake-Towuti-MGX-S5-3300031604
3300021518,*Microbiome,Permanent Draft,"Freshwater sediment microbial communities from Lake Towuti, South Sulawesi, Indonesia","Freshwater sediment microbial communities from Lake Towuti, South Sulawesi, Indonesia - Balambano_FR1_MetaG",DOE Joint Genome Institute  (JGI),3300021518,Metagenome Analysis,Environmental,Aquatic,Freshwater,Lake,Sediment,"Freshwater sediment microbial communities from Lake Towuti, South Sulawesi, Indonesia",IMG Annotation Pipeline v.4.15.2,161646,Ga0224722,Gp0256634,Gs0131992,2017-11-10,SPAdes v. 3.11.1-check,,Yes,Yes,2018-01-09,Primary,rlsimister@gmail.com,Rachel Simister,PRJNA439834,SAMN08769315,,"Illumina NovaSeq, Illumina HiSeq 2500-1TB",Level 1: Standard Draft,Complete,Metagenome,Environmental,Aquatic,Lake,Freshwater,Sediment,,0.0,0.0,Indonesia: South Sulawesi,Freshwater sediment,lake sediment,8763,-2.651,121.2318,603299675,1296459,944533,0,0,1412,346071862,57.36,601657165,99.73,1286550,99.24,9909,0.76,2282,330,756,41,1084,71,7627,0,,,1296459,100.0,-9909,-0.76,,,652860,50.36,,,634347,48.93,0,0,280840,21.66,297596,22.95,988954,76.28,496199,38.27,790351,60.96,174980,13.5,1111570,85.74,,,,,,,,4470,,7930,0,0,128.0,28.0,155,3892255,161.15,155,0,51.63,,,"SRX4020276, SRX5645274",,0,0,0,0.0,0,0,0.0,Ferruginous lake/sediment group: Lake Towuti,Metagenomics,MGX,S6,Lake-Towuti,Lake-Towuti-MGX-S6-3300021518,True,Iron-rich comparison,Lake-Towuti-MGX-S6-3300021518,Lake-Towuti-MGX-S6-3300021518,Lake-Towuti-MGX-S6-3300021518
3300023307,*Microbiome,Permanent Draft,Hydrothermal Fe-rich Mat Reference Genomes,"Hydrothermal Fe-rich mat microbial community from Urashima Vent Field, Mariana Arc, Pacific Ocean - 801-SC8",University of Delaware,3300023307,Metagenome Analysis,Environmental,Aquatic,Marine,Hydrothermal vents,Microbial mats,Hydrothermal Fe-rich Mat Reference Genomes,IMG Annotation Pipeline v.4.16.1,181158,Ga0256749,Gp0295818,Gs0133538,2018-02-23,metaSPAdes v. 3.10.0,Metagenomes associated with bioRxiv doi:10.1101/722066,Yes,Yes,2019-09-02,Primary,mcallis@uw.edu,Sean McAllister,,,,Illumina HiSeq 2500,Level 2: High-Quality Draft,Complete,Metagenome,Environmental,Aquatic,Hydrothermal vents,Marine,Microbial mats,,2927.7,,"International: Urashima Vent Field, Mariana Arc",Hydrothermal Fe-rich mat,Golden Horn Chimney,8764,12.92235,143.64928,20042752,40295,27287,0,0,14,9670472,48.25,19597007,97.78,38414,95.33,1881,4.67,1562,13,1502,4,42,1,319,0,,,40295,100.0,-1881,-4.67,,,22543,55.94,,,22195,55.08,0,0,10555,26.19,10974,27.23,27440,68.1,18088,44.89,20326,50.44,6344,15.74,32070,79.59,,,,,,,,2459,,2953,0,0,1.0,0.0,8,2505344,9.73,9,8,3.77,,,,,0,0,0,0.0,0,0,0.0,Optional outgroup: Hydrothermal Fe-rich mats,Metagenomics,MGX,S7,Hydrothermal-Fe-mats,Hydrothermal-Fe-mats-MGX-S7-3300023307,True,Outgroup,Hydrothermal-Fe-mats-MGX-S7-3300023307,Hydrothermal-Fe-mats-MGX-S7-3300023307,Hydrothermal-Fe-mats-MGX-S7-3300023307
3300023177,*Microbiome,Permanent Draft,Methane metabolizing microbial communities from different methane-rich environments from various locations,"Freshwater microbial communities from Lake Matano, South Sulawesi, Indonesia - Watercolumn_Matano_2014_112_MG",DOE Joint Genome Institute  (JGI),3300023177,Metagenome Analysis,Environmental,Aquatic,Freshwater,Lake,Unclassified,Methane metabolizing microbial communities from different methane-rich environments from various locations,IMG Annotation Pipeline v.4.16.1,180713,Ga0233423,Gp0272226,Gs0127566,2018-02-17,SPAdes v. 3.11.1,,Yes,Yes,2018-04-18,Primary,sean.crowe@ubc.ca,Sean Crowe,PRJNA468228,SAMN09201589,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Environmental,Aquatic,Lake,Freshwater,Unclassified,,112.0,,Indonesia: South Sulawesi,freshwater,lake water,8763,-2.4667,121.2833,965473321,2182929,1631240,0,0,1355,492926572,51.06,963175962,99.76,2166108,99.23,16821,0.77,2784,335,899,18,1487,45,14037,0,,,2182929,100.0,-16821,-0.77,,,998152,45.73,,,964519,44.18,0,0,448205,20.53,458465,21.0,1707643,78.23,733853,33.62,1432255,65.61,281511,12.9,1884597,86.33,,,,,,,,4542,,7586,0,0,133.0,9.0,301,3207552,363.38,344,301,140.29,,,SRX4481787,,0,188586238,147879310,78.41,27282238172,21393281921,22.16,Ferruginous lake/sediment group: Lake Matano,Metagenomics,MGX,S8,Lake-Matano,Lake-Matano-MGX-S8-3300023177,True,Iron-rich comparison,Lake-Matano-MGX-S8-3300023177,Lake-Matano-MGX-S8-3300023177,Lake-Matano-MGX-S8-3300023177
3300061576,*Microbiome,Permanent Draft,Freshwater microbial and viral communities from the Laurentian Great Lakes in the United States and Canada,"Metatranscriptome of freshwater microbial communities from Lake Superior, Michigan, USA - SU01M_mt4 (Metagenome Metatranscriptome)",DOE Joint Genome Institute  (JGI),3300061576,Metatranscriptome Analysis,Environmental,Aquatic,Freshwater,Lake,Unclassified,,IMG Annotation Pipeline v.5.1.13,299589,Ga0587031,Gp0687423,Gs0135713,2023-05-07,MEGAHIT v. 1.2.9,released based on JGI ITS,Yes,Yes,2025-05-06,Primary,mlcoleman@uchicago.edu,Maureen Coleman,PRJNA1339124,SAMN52637157,,Illumina NovaSeq S4,,Complete,Metatranscriptome,Environmental,Aquatic,Lake,Freshwater,Unclassified,,83.0,,United States: Michigan,Freshwater,untreated lake water,8855,46.993306,-85.16111,39767399,97068,77215,0,0,16,19394815,48.77,39606695,99.6,96106,99.01,962,0.99,338,50,43,3,190,52,624,0,,,50205,51.72,45901,47.29,,,45158,46.52,,,43399,44.71,9646,10,17849,18.39,25050,25.81,71056,73.2,37422,38.55,58684,60.46,10347,10.66,85759,88.35,,,,,,,,3411,,4181,1248,0,,,0,0,37.9,32,4,28.69,,,SRX31034105,,0,17955954,12608794,70.22,2529075082,1775933861,44.66,Ferruginous lake/sediment group: Lake Superior,Metatranscriptomics,MTX,S9,Lake-Superior,Lake-Superior-MTX-S9-3300061576,True,Iron-rich comparison,Lake-Superior-MTX-S9-3300061576,Lake-Superior-MTX-S9-3300061576,Lake-Superior-MTX-S9-3300061576
3300024300,*Microbiome,Permanent Draft,Methane metabolizing microbial communities from different methane-rich environments from various locations,"Freshwater microbial communities from Lake Matano, South Sulawesi, Indonesia - Watercolumn_Matano_2014_102_MG",DOE Joint Genome Institute  (JGI),3300024300,Metagenome Analysis,Environmental,Aquatic,Freshwater,Lake,Unclassified,Methane metabolizing microbial communities from different methane-rich environments from various locations,IMG Annotation Pipeline v.4.16.1,183009,Ga0233420,Gp0272223,Gs0127566,2018-03-17,SPAdes v. 3.11.1,,Yes,Yes,2018-05-16,Primary,sean.crowe@ubc.ca,Sean Crowe,PRJNA468225,SAMN09201591,,Illumina HiSeq 2500-1TB,Level 1: Standard Draft,Complete,Metagenome,Environmental,Aquatic,Lake,Freshwater,Unclassified,,102.0,,Indonesia: South Sulawesi,freshwater,lake water,8763,-2.4667,121.2833,719763255,1760652,1383907,0,0,1221,373550768,51.9,718046101,99.76,1747846,99.27,12806,0.73,2324,265,743,12,1262,42,10482,0,,,1760652,100.0,-12806,-0.73,,,815389,46.31,,,767816,43.61,0,0,378545,21.5,389296,22.11,1358550,77.16,625984,35.55,1121862,63.72,236275,13.42,1511571,85.85,,,,,,,,4453,,7109,0,0,210.0,6.0,314,2292239,289.54,280,314,116.2,,,SRX4480643,,0,191745388,153616121,80.11,28383066948,22738990971,31.59,Ferruginous lake/sediment group: Lake Matano,Metagenomics,MGX,S10,Lake-Matano,Lake-Matano-MGX-S10-3300024300,True,Iron-rich comparison,Lake-Matano-MGX-S10-3300024300,Lake-Matano-MGX-S10-3300024300,Lake-Matano-MGX-S10-3300024300
